portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
Portfolio 1,1,2007-11-30,2009-02-28,2009-11-30,25,-28.01587599719808
Portfolio 1,2,2022-01-31,2022-09-30,2023-07-31,19,-21.392622572438704
Portfolio 1,3,2020-02-29,2020-03-31,2020-04-30,3,-9.48327856790263
Portfolio 1,4,2018-09-30,2018-12-31,2019-02-28,6,-6.932905605646655
Portfolio 1,5,2011-09-30,2011-09-30,2011-10-31,2,-6.524863203618625
Portfolio 1,6,2026-03-31,2026-03-31,2026-04-30,2,-6.480230340728843
Portfolio 1,7,2015-06-30,2015-09-30,2016-03-31,10,-6.2023578737323115
Portfolio 1,8,2023-08-31,2023-09-30,2023-11-30,4,-6.012807002102106
Portfolio 1,9,2020-09-30,2020-10-31,2020-12-31,4,-5.951237789628971
Portfolio 1,10,2012-04-30,2012-05-31,2012-08-31,5,-5.853736593087088
Portfolio 1,11,2013-04-30,2013-06-30,2013-09-30,6,-5.800736873864731
Portfolio 1,12,2010-05-31,2010-06-30,2010-09-30,5,-5.646962953638591
Portfolio 1,13,2026-06-30,2026-07-31,,3,-5.606425451430974
Portfolio 1,14,2005-01-31,2005-04-30,2005-07-31,7,-5.09027189114909
Portfolio 1,15,2006-05-31,2006-07-31,2006-10-31,6,-4.797698949103701
Portfolio 1,16,2021-09-30,2021-09-30,2021-10-31,2,-4.229871219534664
Portfolio 1,17,2018-02-28,2018-04-30,2018-08-31,7,-4.0001773638065785
Portfolio 1,18,2016-10-31,2016-11-30,2017-01-31,4,-3.6502792927258887
Portfolio 1,19,2009-12-31,2010-01-31,2010-03-31,4,-3.6242562329315664
Portfolio 1,20,2019-05-31,2019-05-31,2019-06-30,2,-3.5486031898431025
Portfolio 1,21,2011-11-30,2011-12-31,2012-01-31,3,-3.231445363548624
Portfolio 1,22,2012-10-31,2012-12-31,2013-03-31,6,-3.224780535682714
Portfolio 1,23,2011-05-31,2011-06-30,2011-08-31,4,-2.8641698965035545
Portfolio 1,24,2021-01-31,2021-02-28,2021-04-30,4,-2.6057453079532777
Portfolio 1,25,2014-09-30,2014-09-30,2014-11-30,3,-2.598731809073851
Portfolio 1,26,2024-04-30,2024-04-30,2024-05-31,2,-1.9378516386570177
Portfolio 1,27,2015-03-31,2015-03-31,2015-05-31,3,-1.7389185793270534
Portfolio 1,28,2014-03-31,2014-03-31,2014-05-31,3,-1.5699728022059767
Portfolio 1,29,2005-10-31,2005-10-31,2005-11-30,2,-1.474729920752671
Portfolio 1,30,2025-02-28,2025-03-31,2025-04-30,3,-1.4407418971045138
Portfolio 1,31,2024-12-31,2024-12-31,2025-01-31,2,-1.234084957327486
Portfolio 1,32,2017-06-30,2017-06-30,2017-07-31,2,-1.2017615174571339
Portfolio 1,33,2014-07-31,2014-07-31,2014-08-31,2,-1.1600898557066697
Portfolio 1,34,2007-06-30,2007-07-31,2007-08-31,3,-0.9707451365162822
Portfolio 1,35,2006-12-31,2006-12-31,2007-01-31,2,-0.8398255565732815
Portfolio 1,36,2006-02-28,2006-02-28,2006-03-31,2,-0.8147828444722283
Portfolio 1,37,2016-08-31,2016-08-31,2016-09-30,2,-0.7270958187613474
Portfolio 1,38,2017-09-30,2017-09-30,2017-10-31,2,-0.6392187145008776
Portfolio 1,39,2011-01-31,2011-01-31,2011-02-28,2,-0.3687402259417216
Portfolio 1,40,2014-12-31,2014-12-31,2015-01-31,2,-0.341968111440516
Portfolio 1,41,2014-01-31,2014-01-31,2014-02-28,2,-0.3018634420214772
Portfolio 1,42,2019-09-30,2019-09-30,2019-10-31,2,-0.2779415401413132
Portfolio 1,43,2005-08-31,2005-08-31,2005-09-30,2,-0.12959918126774772
Portfolio 1,44,2007-02-28,2007-02-28,2007-03-31,2,-0.12324925790317964
Portfolio 1,45,2016-05-31,2016-05-31,2016-06-30,2,-0.030060784358754145
benchmark,1,2007-11-30,2009-02-28,2012-03-31,53,-50.784821064571204
benchmark,2,2022-01-31,2022-09-30,2023-12-31,24,-23.92716680476662
benchmark,3,2020-01-31,2020-03-31,2020-07-31,7,-19.447702295379766
benchmark,4,2018-10-31,2018-12-31,2019-04-30,7,-13.532075170615387
benchmark,5,2015-08-31,2015-09-30,2016-05-31,10,-8.491085896977346
benchmark,6,2025-02-28,2025-04-30,2025-06-30,5,-7.578974101565727
benchmark,7,2012-04-30,2012-05-31,2012-08-31,5,-6.633055185714309
benchmark,8,2019-05-31,2019-05-31,2019-06-30,2,-6.377131358264576
benchmark,9,2018-02-28,2018-03-31,2018-07-31,6,-6.277402406892396
benchmark,10,2020-09-30,2020-10-31,2020-11-30,3,-6.144365625970627
benchmark,11,2026-02-28,2026-03-31,2026-04-30,3,-5.75948723923958
benchmark,12,2021-09-30,2021-09-30,2021-10-31,2,-4.660527359518252
benchmark,13,2007-06-30,2007-07-31,2007-09-30,4,-4.547328754327717
benchmark,14,2024-04-30,2024-04-30,2024-05-31,2,-4.031956884641142
benchmark,15,2005-01-31,2005-04-30,2005-07-31,7,-3.8598404453603297
benchmark,16,2014-01-31,2014-01-31,2014-02-28,2,-3.5248303236403933
benchmark,17,2014-12-31,2015-01-31,2015-02-28,3,-3.209070874702613
benchmark,18,2006-05-31,2006-05-31,2006-09-30,5,-3.0120489026961295
benchmark,19,2013-08-31,2013-08-31,2013-09-30,2,-2.99921477548466
benchmark,20,2005-08-31,2005-10-31,2005-11-30,4,-2.504149560024249
benchmark,21,2024-12-31,2024-12-31,2025-01-31,2,-2.4059966165139612
benchmark,22,2015-06-30,2015-06-30,2015-07-31,2,-2.031194036922901
benchmark,23,2007-02-28,2007-02-28,2007-04-30,3,-1.9617908060099332
benchmark,24,2012-10-31,2012-10-31,2013-01-31,4,-1.8198314634604307
benchmark,25,2016-10-31,2016-10-31,2016-11-30,2,-1.7337103329300607
benchmark,26,2019-08-31,2019-08-31,2019-09-30,2,-1.6743568586197521
benchmark,27,2015-03-31,2015-03-31,2015-05-31,3,-1.5705666769147308
benchmark,28,2014-09-30,2014-09-30,2014-10-31,2,-1.3796437829374453
benchmark,29,2014-07-31,2014-07-31,2014-08-31,2,-1.3437461503050585
benchmark,30,2013-06-30,2013-06-30,2013-07-31,2,-1.3344435849032332
benchmark,31,2026-06-30,2026-06-30,2026-08-31,3,-1.0292566443839024
benchmark,32,2021-01-31,2021-01-31,2021-02-28,2,-1.0190364776450744
benchmark,33,2024-10-31,2024-10-31,2024-11-30,2,-0.8923539734813524
benchmark,34,2021-11-30,2021-11-30,2021-12-31,2,-0.8034704366536194
benchmark,35,2005-12-31,2005-12-31,2006-01-31,2,-0.1913649228256875
