metric,Portfolio 1,benchmark
alpha,0.03785692278682613,-2.0816681711721685e-17
beta,0.665150642725672,1.0000000000000002
calmar_ratio,3.6847778934623805,2.759938474888841
excess_kurtosis,1.5038286714150182,1.2471453573700035
historical_var_95,0.042298712195346665,0.06942055622662013
modigliani_modigliani,0.15157563630573295,0.11588014522911015
r_squared,0.745741852299781,0.9999999999999998
skewness,-0.4479289628361556,-0.560912678141451
treynor_ratio,0.1549999167429082,0.09815677358160053
