year,Portfolio 1_return_pct,benchmark_return_pct
2004,1.049391073674344,3.012098521529505
2005,7.748588599284512,4.828247661324214
2006,14.204916358277497,15.845280283541086
2007,17.34493076535566,5.146225029643059
2008,-21.90427719798047,-36.79501492415069
2009,30.922964651508188,26.351762591574968
2010,21.00933269902956,15.056161861232464
2011,6.843754216322484,1.8949849799832386
2012,12.745407120986751,15.990329216802879
2013,8.133576701966039,32.30778094040059
2014,9.991849659818918,13.463802308634577
2015,0.5064405185124743,1.2342653235452472
2016,9.025836451155378,11.99789487720604
2017,20.158244708462412,21.70542039610668
2018,-1.3650798255011587,-4.569003343903932
2019,27.334295200655045,31.223870646836804
2020,28.850834829143878,18.331613708139827
2021,14.63396372929029,28.728751906232187
2022,-17.201366533828512,-18.17535011993321
2023,27.678051091656908,26.175777831245185
2024,23.22724740707556,24.886476304115334
2025,30.59318528098107,17.71905551191475
2026,10.54796726579914,13.081637433046645
