series,133690,402970,069500,168580,200250,101280,TLT,385560,132030,optimized,provided,benchmark
133690,1.0,0.34338955681722283,0.5197056945872635,0.12787406303260435,0.3845607251943168,0.5654607535638793,0.3701634989051331,0.18913324534019874,-0.11857479959343427,0.6165191602269031,0.6017069379277762,0.8461213318491799
402970,0.34338955681722283,1.0,0.22324148774101452,-0.024541245134344355,0.31213395201139665,0.4708411480487684,0.3534601947533836,0.02697022287036301,-0.1923950485203593,0.4522028180563845,0.3470255802816799,0.5898388242834878
069500,0.5197056945872635,0.22324148774101452,1.0,0.17590199003707307,0.2612053056305531,0.630647303191199,0.24818754685091002,0.17161799885067516,0.26342917508680463,0.6894378575958218,0.7296458903814219,0.4847398372892324
168580,0.12787406303260435,-0.024541245134344355,0.17590199003707307,1.0,-0.0856963733846185,0.11094319113580248,0.3342363878978914,0.0028445596138068105,0.08273629243768282,0.13942839095776824,0.34215931406284955,0.117914189628562
200250,0.3845607251943168,0.31213395201139665,0.2612053056305531,-0.0856963733846185,1.0,0.4674343713616616,0.2920278243742705,0.05397455105281232,-0.16727981427189076,0.23869549773561496,0.3496073025099211,0.47162066595287866
101280,0.5654607535638793,0.4708411480487684,0.630647303191199,0.11094319113580248,0.4674343713616616,1.0,0.38243459058614226,0.27879660332405787,0.07144350110987657,0.6224332549441249,0.6919604651244134,0.6532099771888905
TLT,0.3701634989051331,0.3534601947533836,0.24818754685091002,0.3342363878978914,0.2920278243742705,0.38243459058614226,1.0,0.4376634395275245,-0.025483107274302693,0.33952327801616294,0.6423979536756835,0.4450423213424463
385560,0.18913324534019874,0.02697022287036301,0.17161799885067516,0.0028445596138068105,0.05397455105281232,0.27879660332405787,0.4376634395275245,1.0,0.23842833920187922,0.2980748448371451,0.5897800806714548,0.23512607196334528
132030,-0.11857479959343427,-0.1923950485203593,0.26342917508680463,0.08273629243768282,-0.16727981427189076,0.07144350110987657,-0.025483107274302693,0.23842833920187922,1.0,0.6019447900012479,0.45024277820310976,-0.15497344548175637
optimized,0.6165191602269031,0.4522028180563845,0.6894378575958218,0.13942839095776824,0.23869549773561496,0.6224332549441249,0.33952327801616294,0.2980748448371451,0.6019447900012479,1.0,0.8589834856397596,0.6084540266278828
provided,0.6017069379277762,0.3470255802816799,0.7296458903814219,0.34215931406284955,0.3496073025099211,0.6919604651244134,0.6423979536756835,0.5897800806714548,0.45024277820310976,0.8589834856397596,1.0,0.6225527672454862
benchmark,0.8461213318491799,0.5898388242834878,0.4847398372892324,0.117914189628562,0.47162066595287866,0.6532099771888905,0.4450423213424463,0.23512607196334528,-0.15497344548175637,0.6084540266278828,0.6225527672454862,1.0
