kind,label,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_132030
provided,Provided Portfolio,0.08770251716322992,0.09952450838057528,0.49543263643638025,0.1,0.1,0.08,0.085,0.085,0.05,0.15,0.15,0.2
optimized,Optimized Portfolio,0.17022169269755272,0.10500000004488635,1.255493952904679,0.23453035094823016,0.29255953917014527,0.047444034778783464,0.0,0.0,0.02546307926827633,0.0,0.0,0.40000299453704585
benchmark,Benchmark,0.16581398347370735,0.14302210050156153,0.8909053596657902,,,,,,,,,
