kind,label,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_132030
provided,Provided Portfolio,0.0918892717647505,0.0994654171157349,0.5378195329568579,0.1,0.1,0.08,0.085,0.085,0.05,0.3,0.2
optimized,Optimized Portfolio,0.15933005767236508,0.09367564385681218,1.290999721026883,0.17043765226155505,0.32385639309257186,0.0,0.0,0.0,0.1399650434136562,0.0,0.3657409112322168
benchmark,Benchmark,0.16581400690474568,0.1430220538781148,0.8909058139182299,,,,,,,,
