point,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_132030
1,0.09195839168195388,0.07640729476508651,0.7010268359903024,0.0,0.2771275833567459,0.0,0.13221556314106744,0.26050295191104883,0.015387089131405057,0.07142419184686222,0.24334262061287049
2,0.09357278542535274,0.0764148161070036,0.7220845465607115,0.0,0.28031081389226514,0.0,0.13225689941233104,0.2574643264779945,0.02057426552504328,0.06460179197844136,0.2447919027139246
3,0.0951871791687516,0.07643737569221132,0.742991907666077,0.0,0.28349404442778453,0.0,0.1322982356835947,0.25442570104494017,0.025761441918681478,0.05777939211002049,0.24624118481497867
4,0.09680157291215048,0.07647496021217703,0.7637368514334125,0.0,0.2866772749633038,0.0,0.13233957195485832,0.251387075611886,0.030948618312319588,0.050956992241599545,0.24769046691603283
5,0.09841596665554936,0.07652754752958298,0.7843076252527276,0.0,0.28986050549882303,0.0,0.1323809082261219,0.2483484501788316,0.036135794705957944,0.04413459237317869,0.24913974901708694
6,0.10003036039894819,0.07659494818344956,0.8046944906225467,0.0008696454539976167,0.29284382436756473,0.0,0.13237856035786255,0.24535629516649346,0.04037274850018943,0.037528783837875765,0.25065014231601646
7,0.10164475414234707,0.07667542654535586,0.82490478900337,0.003220176735176261,0.2954867213406268,0.0,0.13230182444698804,0.24244327284795053,0.04299160474252832,0.03129180036114137,0.2522645995255888
8,0.10325914788574593,0.07676848274455601,0.8449342488032805,0.005570708016354978,0.2981296183136889,0.0,0.1322250885361135,0.23953025052940774,0.04561046098486699,0.025054816884406868,0.2538790567351612
9,0.10487354162914478,0.07687407110458062,0.8647742091413275,0.00792123929753365,0.3007725152867509,0.0,0.13214835262523894,0.23661722821086484,0.0482293172272057,0.018817833407672416,0.2554935139447335
10,0.10648793537254365,0.07699214006497697,0.884416353784556,0.010271770578712395,0.30341541225981306,0.0,0.13207161671436446,0.2337042058923219,0.05084817346954437,0.012580849930937847,0.25710797115430584
