portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
KAW Native Proxy Canonical,1,2022-01-31,2022-12-31,2024-02-29,26,-13.834485817247899
KAW Native Proxy Canonical,2,2026-06-30,2026-07-31,,3,-8.939423352289621
KAW Native Proxy Canonical,3,2026-03-31,2026-03-31,2026-05-31,3,-5.300540438853862
KAW Native Proxy Canonical,4,2025-04-30,2025-05-31,2025-07-31,4,-1.391181125432761
KAW Native Proxy Canonical,5,2024-08-31,2024-08-31,2024-09-30,2,-0.8831171955664074
KAW Core Revised Internal,1,2022-01-31,2022-12-31,2024-02-29,26,-12.801378077211067
KAW Core Revised Internal,2,2026-07-31,2026-07-31,,2,-11.523768602663543
KAW Core Revised Internal,3,2025-04-30,2025-05-31,2025-08-31,5,-4.8515541469089545
KAW Core Revised Internal,4,2026-03-31,2026-03-31,2026-05-31,3,-3.007481120216793
KAW Core Revised Internal,5,2024-08-31,2024-08-31,2024-09-30,2,-1.311807133343601
KAW Core Revised Internal,6,2025-12-31,2025-12-31,2026-01-31,2,-0.6254947884883122
KAW Core Revised Internal,7,2025-01-31,2025-01-31,2025-02-28,2,-0.13917770725211387
KAW Core Revised Internal,8,2024-04-30,2024-04-30,2024-05-31,2,-0.12584446702452734
benchmark,1,2022-01-31,2022-06-30,2023-04-30,16,-13.403071474509098
benchmark,2,2025-02-28,2025-04-30,2025-07-31,6,-8.727139198411615
benchmark,3,2026-07-31,2026-07-31,,2,-8.234183406494822
benchmark,4,2023-09-30,2023-10-31,2023-12-31,4,-5.163045957573342
benchmark,5,2025-12-31,2026-03-31,2026-04-30,5,-1.5483721436609588
benchmark,6,2024-04-30,2024-04-30,2024-05-31,2,-1.4966218302117529
benchmark,7,2023-05-31,2023-05-31,2023-06-30,2,-0.8622288468976502
benchmark,8,2024-07-31,2024-08-31,2024-09-30,3,-0.4620998082028538
benchmark,9,2023-07-31,2023-07-31,2023-08-31,2,-0.2500989304618506
