date,KAW Native Proxy Canonical_drawdown_pct,KAW Core Revised Internal_drawdown_pct,benchmark_drawdown_pct
2021-11-30,0.0,0.0,0.0
2021-12-31,0.0,0.0,0.0
2022-01-31,-4.152000108220788,-2.989354930796484,-3.8554975695545
2022-02-28,-4.009540339481587,-2.9924974634194412,-7.475268511651789
2022-03-31,-3.4509469723628117,-2.9957323502791233,-2.6416568684022312
2022-04-30,-6.645324496508687,-5.641035378612436,-6.960679875646325
2022-05-31,-8.691629520110844,-8.725651611968255,-8.989752908196447
2022-06-30,-11.045582973903677,-8.808025205606619,-13.403071474509098
2022-07-31,-6.88900057098526,-5.928155088814179,-4.882174101263259
2022-08-31,-8.819415495754711,-6.05636216072849,-5.444494564209112
2022-09-30,-11.887768660792675,-7.970128024978996,-8.565452436933473
2022-10-31,-12.507254355309993,-8.711311543829868,-1.7230219021216686
2022-11-30,-10.410254669170671,-7.686454415086352,-3.2853904331186845
2022-12-31,-13.834485817247899,-12.801378077211067,-13.336264980823564
2023-01-31,-9.949451824631561,-10.076439679799154,-9.988317025421045
2023-02-28,-9.371523661516235,-8.23390566281721,-6.063086792145378
2023-03-31,-6.7811793929005715,-5.650155910965971,-4.194740837550858
2023-04-30,-4.4759741096440315,-2.258262925274601,0.0
2023-05-31,-5.91226969175056,-4.396135067309681,-0.8622288468976502
2023-06-30,-5.7570305192368725,-3.083416350694246,0.0
2023-07-31,-5.550600628314795,-4.485610626050073,-0.2500989304618506
2023-08-31,-5.51632128605638,-4.029293689549062,0.0
2023-09-30,-7.407666531735657,-6.720768209856553,-3.0743958232085977
2023-10-31,-9.537799129802483,-8.979009221836876,-5.163045957573342
2023-11-30,-5.643549048150687,-6.840120741016397,-1.0845786534662838
2023-12-31,-0.2910464103875188,-0.9703115843793242,0.0
2024-01-31,-0.09831857290097945,-0.7891432782420993,0.0
2024-02-29,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0
2024-04-30,0.0,-0.12584446702452734,-1.4966218302117529
2024-05-31,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0
2024-07-31,0.0,0.0,-0.17774889653395798
2024-08-31,-0.8831171955664074,-1.311807133343601,-0.4620998082028538
2024-09-30,0.0,0.0,0.0
2024-10-31,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0
2025-01-31,0.0,-0.13917770725211387,0.0
2025-02-28,0.0,0.0,-0.70790887227411
2025-03-31,0.0,0.0,-4.811223121134622
2025-04-30,-0.5361002206557219,-2.533738338040703,-8.727139198411615
2025-05-31,-1.391181125432761,-4.8515541469089545,-6.625484311325369
2025-06-30,-0.058267245248311283,-2.9063629661209234,-3.3969085938449384
2025-07-31,0.0,-0.16340912628211024,0.0
2025-08-31,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0
2025-12-31,0.0,-0.6254947884883122,-1.5288936878936399
2026-01-31,0.0,0.0,-0.7135010110931761
2026-02-28,0.0,0.0,-1.3262838016641298
2026-03-31,-5.300540438853862,-3.007481120216793,-1.5483721436609588
2026-04-30,-1.6964524606459697,-0.0015454613679466433,0.0
2026-05-31,0.0,0.0,0.0
2026-06-30,-1.2635737096382438,0.0,0.0
2026-07-31,-8.939423352289621,-11.523768602663543,-8.234183406494822
2026-08-31,-8.279984158140918,-10.362121214661945,-8.163424536463559
