roll_period_years,Growth 70/30_average_pct,Growth 70/30_high_pct,Growth 70/30_low_pct,Balanced 50/50_average_pct,Balanced 50/50_high_pct,Balanced 50/50_low_pct,benchmark_average_pct,benchmark_high_pct,benchmark_low_pct
1,19.2126630211566,48.237626943220334,-23.590982368222136,18.13719741890932,42.64721057459737,-18.00433155275174,17.24792311217357,56.23115093476259,-18.17536812386573
3,14.747366656825484,33.798518360034954,6.749289382818424,14.278881142838692,33.990443008287926,4.818407723552665,13.00838531653914,24.7928783197233,7.618475778530387
5,17.337922361356554,19.264553974263322,14.429736602240917,16.580823815928163,18.34609799203548,13.886335619333767,15.885135166317477,18.475141326074574,14.453843305335523
7,,,,,,,,,
