year,optimized,provided,benchmark
2017,0.0024746533468762433,0.04246190399313754,0.036759844460926505
2018,0.02258048301400506,-0.02799038670560472,-0.00392104012879646
2019,0.2891356833782608,0.29186743126404435,0.35931807296344
2020,0.19207606470102045,0.15503432807400164,0.11175555023791328
2021,0.21302184129433765,0.26738799608653263,0.4098881759832753
2022,0.008626238473643522,0.021819938631891356,-0.13336259062779998
2023,0.2194486089990253,0.18780840975268087,0.2793587966807938
2024,0.47746522902734045,0.4037651423058699,0.434116244053554
2025,0.3826337918447613,0.3081509126053652,0.1535409489259636
2026,0.10014641166145499,0.20279228843585462,0.0888832490115481
