portfolio,market_type,portfolio_return_pct,benchmark_return_pct,active_return_pct,occurrences,above_benchmark_count,below_benchmark_count,total_count,pct_above_benchmark,above_active_return,below_active_return
provided,up,3.4949522204878085,3.3799739031045974,0.11497831738321061,91,46,45,91,50.54945054945055,0.019556726814023085,-0.017666203658363112
provided,down,-3.3708594634847002,-3.9234763683209635,0.5526169048362621,38,20,18,38,52.63157894736842,0.021321385609046863,-0.01202407157461987
optimized,up,2.9102553016843546,3.3799739031045974,-0.469718601420243,91,38,53,91,41.75824175824176,0.011074074529898448,-0.016004882253369095
optimized,down,-2.1974757828985494,-3.9234763683209635,1.7260005854224132,38,31,7,38,81.57894736842105,0.022840142341218898,-0.007452027159609849
