point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_GDX_pct,weight_GLD_pct,weight_SLV_pct,weight_AIA_pct,weight_XLE_pct
1,1.087559094107076,15.99189576834995,12.538119392533364,7.3617846418748005,43.35539157727914,0.0,30.0,0.0,8.879107526180963,10.403716254665095
2,1.0907843392506542,16.03317707811234,12.538892048549494,8.171561035153898,43.35812250570942,0.0,30.0,0.0,8.286716711890142,10.18359974724654
3,1.0938744094188648,16.074458387874735,12.54120973098079,8.98133742843297,43.36085343413967,0.0,30.0,0.0,7.694325897599352,9.96348323982801
4,1.0968283127001708,16.115739697637128,12.545071583503612,9.791113821712017,43.363584362569924,0.0,30.0,0.0,7.101935083308589,9.743366732409477
5,1.0996452093712108,16.157021007399518,12.550476180668419,10.600890214991052,43.366315291000205,0.0,30.0,0.0,6.509544269017799,9.523250224990939
6,1.102324412978544,16.198302317161907,12.55742153052664,11.410666608270212,43.36904621943043,0.0,30.0,0.0,5.91715345472697,9.303133717572388
7,1.1048653909465092,16.239583626924297,12.565905078292436,12.220443001549189,43.37177714786078,0.0,30.0,0.0,5.324762640436183,9.083017210153848
8,1.1072677647114229,16.280864936686694,12.575923711023787,13.030219394828373,43.37450807629098,0.0,30.0,0.0,4.732371826145347,8.862900702735297
9,1.1095313093851846,16.322146246449083,12.587473763302862,13.839995788107373,43.3772390047213,0.0,30.0,0.0,4.139981011854567,8.642784195316764
10,1.111655952954129,16.363427556211473,12.600551023891718,14.649772181386414,43.37996993315155,0.0,30.0,0.0,3.5475901975638013,8.422667687898235
11,1.1136417750216734,16.40470886597387,12.615150743335265,15.459548574665543,43.38270086158178,0.0,30.0,0.0,2.9551993832729875,8.20255118047969
12,1.115489005105903,16.44599017573626,12.631267642479873,16.269324967944637,43.38543179001207,0.0,30.0,0.0,2.362808568982168,7.982434673061137
13,1.1171980205057197,16.48727148549865,12.648895921872342,17.079101361223678,43.38816271844236,0.0,30.0,0.0,1.7704177546913693,7.762318165642597
14,1.118769343751485,16.528552795261046,12.668029272000897,17.888877754502793,43.39089364687259,0.0,30.0,0.0,1.1780269404005679,7.5422016582240525
15,1.1202109788535415,16.56983410502343,12.68857775306787,18.54762370522165,43.37550581133042,0.10706822126122756,30.0,0.0,0.6274110694424928,7.3423911927442065
16,1.121557692663459,16.611115414785825,12.710149025800774,19.090840423852416,43.34625820783263,0.29603721149116075,30.0,0.0,0.10875052511875546,7.1581136317050404
17,1.1227737625734433,16.65239672454821,12.733149990769444,19.573705194465816,43.20212843734938,0.5456708804880166,30.0,0.0,0.0,6.678495487696784
18,1.1237738581034302,16.693678034310608,12.7585527380999,20.04055838758335,43.0275200364324,0.8113990955144423,30.0,0.0,0.0,6.12052248046981
19,1.1245571226812727,16.734959344073,12.786375235247494,20.507411580700957,42.85291163551535,1.0771273105408752,30.0,0.0,0.0,5.562549473242825
20,1.1251259081530007,16.77624065383539,12.816601723719653,20.97426477381845,42.678303234598395,1.342855525567286,30.0,0.0,0.0,5.004576466015862
21,1.1254828949192113,16.81752196359778,12.849215238083072,21.44111796693606,42.50369483368131,1.6085837405936751,30.0,0.0,0.0,4.446603458788954
22,1.125631076568875,16.858803273360166,12.8841976516564,21.907971160053503,42.3290864327644,1.8743119556200873,30.0,0.0,0.0,3.8886304515620043
23,1.1255737434499309,16.900084583122567,12.921529724515587,22.37482435317117,42.1544780318473,2.1400401706465186,30.0,0.0,0.0,3.3306574443350097
24,1.1253144653230336,16.941365892884956,12.961191153530633,22.84167754628865,41.97986963093036,2.4057683856729235,30.0,0.0,0.0,2.772684437108068
25,1.1248570732475238,16.982647202647346,13.003160624148693,23.30853073940623,41.80526123001332,2.671496600699332,30.0,0.0,0.0,2.2147114298811115
26,1.1242056408494687,17.02392851240974,13.04741586363716,23.775383932523685,41.63065282909639,2.937224815725718,30.0,0.0,0.0,1.6567384226542126
27,1.123364465120604,17.065209822172132,13.093933695501885,24.242237125641214,41.45604442817942,3.2029530307521425,30.0,0.0,0.0,1.0987654154272306
28,1.1223380468943234,17.106491131934522,13.142690094799395,24.709090318758815,41.28143602726235,3.4686812457785523,30.0,0.0,0.0,0.5407924082002878
29,1.1211307367460701,17.14777244169692,13.193664179280443,25.218034187531536,41.03209490766896,3.749870904799504,30.0,0.0,0.0,0.0
30,1.1197399044006358,17.18905375145931,13.246918943555055,25.535780112710597,40.870323265709146,4.057503732256505,29.53639288932376,0.0,0.0,0.0
31,1.1183394438027947,17.2303350612217,13.300420676072132,25.714895904532515,40.93165762904983,4.323052771973078,29.030393694444573,0.0,0.0,0.0
32,1.1169327741365265,17.271616370984088,13.354130809273663,25.894011696354525,40.99299199239038,4.58860181168959,28.524394499565513,0.0,0.0,0.0
