point,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_069500,weight_EEM,weight_101280,weight_TLT,weight_385560,weight_132030
1,0.10605791356800844,0.08595201113170352,0.7872193458989806,0.01409832313286301,0.33249070363461874,0.0,0.006001296348362692,0.15627588217567073,0.18827147097267208,0.03953606272415268,0.26332626101166007
2,0.10752988778651293,0.08595659449513417,0.8043019922598217,0.015871522993752746,0.33397475927957054,0.0,0.006897333237178632,0.15757105240204325,0.18306588318167735,0.03759293096801217,0.2650265179377654
3,0.10900186200501746,0.0859703431193005,0.8212952496982551,0.01764472285464249,0.33545881492452223,0.0,0.007793370125994353,0.158866222628416,0.1778602953906826,0.035649799211871634,0.26672677486387075
4,0.11047383622352197,0.08599325260816963,0.8381937704548152,0.019417922715532224,0.33694287056947403,0.0,0.008689407014810299,0.1601613928547885,0.17265470759968773,0.03370666745573113,0.26842703178997607
5,0.11194581044202646,0.08602531564282445,0.854992304372377,0.02119112257642207,0.33842692621442577,0.0,0.009585443903626078,0.1614565630811609,0.1674491198086931,0.03176353569959064,0.27012728871608144
6,0.11341778466053096,0.0860665219931395,0.8716857070197895,0.022964322437311755,0.3399109818593777,0.0,0.01048148079244207,0.16275173330753345,0.16224353201769812,0.029820403943450147,0.2718275456421867
7,0.11488975887903549,0.08611685853406661,0.8882689475089048,0.02473752229820156,0.34139503750432937,0.0,0.011377517681257747,0.16404690353390614,0.15703794422670353,0.027877272187309576,0.2735278025682922
8,0.11636173309753997,0.08617630926646952,0.904737115977527,0.026510722159091258,0.34287909314928117,0.0,0.012273554570073819,0.1653420737602785,0.15183235643570872,0.02593414043116919,0.2752280594943974
9,0.11783370731604448,0.086244855342431,0.9210854307127003,0.028283922019981027,0.3443631487942328,0.0,0.01316959145888956,0.16663724398665114,0.1466267686447141,0.023991008675028642,0.2769283164205028
10,0.11930568153454896,0.08632247509493911,0.9373092448907977,0.03005712188087076,0.34584720443918465,0.0,0.014065628347705385,0.16793241421302366,0.14142118085371932,0.022047876918888175,0.2786285733466081
11,0.12077765575305349,0.08640914407184463,0.9534040529130763,0.03183032174176052,0.34733126008413645,0.0,0.014961665236521132,0.1692275844393963,0.13621559306272452,0.020104745162747628,0.28032883027271344
12,0.122249629971558,0.08650483507396631,0.9693654963176419,0.0336035216026503,0.3488153157290882,0.0,0.015857702125337172,0.17052275466576866,0.1310100052717298,0.018161613406607213,0.2820290871988188
13,0.12372160419006252,0.08660951819720686,0.9851893692511893,0.03537672146354002,0.35029937137404,0.0,0.016753739014153127,0.1718179248921413,0.1258044174807349,0.01621848165046667,0.2837293441249241
14,0.12519357840856699,0.08672316087852992,1.0008716234863262,0.03714992132442981,0.3517834270189919,0.0,0.01764977590296886,0.1731130951185136,0.12059882968974023,0.014275349894326215,0.28542960105102944
15,0.12666555262707146,0.08684572794563558,1.0164083729728308,0.03892312118531944,0.35326748266394353,0.0,0.018545812791784914,0.17440826534488632,0.1153932418987453,0.012332218138185788,0.2871298579771347
16,0.12813752684557606,0.08697718167016107,1.0317958979137265,0.040696321046209405,0.3547515383088954,0.0,0.01944184968060038,0.17570343557125886,0.1101876541077507,0.010389086382045092,0.2888301149032403
17,0.12960950106408053,0.08711748182422367,1.0470306483596121,0.04246952090709909,0.35623559395384713,0.0,0.020337886569416506,0.17699860579763138,0.1049820663167558,0.008445954625904674,0.29053037182934544
18,0.13108147528258504,0.0872665857401134,1.0621092473172504,0.04424272076798882,0.3577196495987988,0.0,0.021233923458232242,0.17829377602400404,0.09977647852576112,0.006502822869764184,0.2922306287554508
