asset,KAW Direct Proxy v2,KAW Core
133690,0.11922415204048234,0.0
402970,0.03926992602811173,0.0
069500,0.2186534071679131,0.0
168580,0.05050040717559576,0.0
200250,0.036752315356629664,0.0
101280,0.04337024129683993,0.0
267440,0.11908284596047966,0.0
385560,0.18927254532664764,0.0
132030,0.1838741596473001,0.0
QQQ,0.0,0.11940616022992087
SPY,0.0,0.08192725166171909
EWY,0.0,0.18313629404896062
EEM,0.0,0.17710081801694105
EWJ,0.0,0.03975990441840345
TLT,0.0,0.26530320066312973
GLD,0.0,0.13336637096092516
