date,KAW Direct Proxy v2_balance,KAW Core_balance,benchmark_balance
2021-11-01,10000.0,10000.0,10000.0
2021-11-30,10137.220021635247,10158.230369327266,10118.234413976297
2021-12-31,10265.921897740973,10240.061544009128,10578.625258483195
2022-01-31,9839.605460918407,9898.637360993333,10170.767313285587
2022-02-28,9849.521675665988,9896.065478389457,9787.845283956889
2022-03-31,9874.394318479606,9900.623576674263,10299.174981064056
2022-04-30,9473.076830773345,9599.872252259289,9842.280918687466
2022-05-31,9309.333818035217,9265.78510134781,9627.633644107787
2022-06-30,8995.456558475096,9146.105976595576,9160.767524955263
2022-07-31,9396.312512022765,9471.886223510328,10062.159042962747
2022-08-31,9136.618228206135,9455.363020269437,10002.672449482247
2022-09-30,8705.033152199103,9179.243242369717,9672.517935735666
2022-10-31,8654.648714401696,9087.934015140336,10396.35134900769
2022-11-30,8953.054088280227,9282.261466616997,10231.076814939379
2022-12-31,8689.74634135503,8738.844647727858,9167.830858513149
2023-01-31,9128.13546215965,9067.898008586077,9522.00002861612
2023-02-28,9060.233626707164,9225.747639711575,9937.233105482339
2023-03-31,9367.069186056488,9573.645140867015,10134.880036798968
2023-04-30,9514.833273980581,9918.36939855167,10637.418242546084
2023-05-31,9392.204964399,9745.962001024476,10545.698544051538
2023-06-30,9387.879008130372,9948.457061945826,11240.354813601827
2023-07-31,9474.717712798572,9809.53189270529,11212.24358226947
2023-08-31,9412.599141549317,9824.188503969119,11433.183336843622
2023-09-30,9193.432697913739,9497.090507268733,11081.681987060938
2023-10-31,8970.948737274632,9284.89189439904,10842.882771003435
2023-11-30,9436.559297743745,9609.339950953461,11309.181484264185
2023-12-31,9959.710194236648,10205.081883793791,11728.947788800231
2024-01-31,9909.950406611486,10206.999837198637,12370.616296025655
2024-02-29,10015.398678001251,10466.06619734132,13082.525711111064
2024-03-31,10395.511491387539,10957.518309745818,13676.724528739926
2024-04-30,10428.236586837324,10911.115940154228,13472.036524903304
2024-05-31,10493.119007636778,11121.646313803545,14052.927090157811
2024-06-30,10768.483143004887,11487.947897919428,14668.540895424998
2024-07-31,11053.472450071968,11615.295414950748,14642.464383853376
2024-08-31,11041.40362614463,11488.245769134728,14600.75591981705
2024-09-30,11329.101536903581,11659.841282752679,14711.15187555692
2024-10-31,11446.133138686326,11948.647781078234,15280.86487564436
2024-11-30,11594.519348886146,12128.908131471662,16365.13060608119
2024-12-31,11590.327927527715,12400.69309819867,16820.67343701303
2025-01-31,11781.480207021565,12462.031143996928,16969.551786298263
2025-02-28,11905.807974327829,12781.895717873402,16849.42280126969
2025-03-31,12073.399410242417,13018.157626006841,16153.11045345913
2025-04-30,12087.582916705383,12753.04165410638,15488.596978270481
2025-05-31,12044.320533193762,12530.10003096474,15845.238429492803
2025-06-30,12234.607503106625,12920.676459519036,16393.114951705684
2025-07-31,12500.121797764625,13352.193917848077,17305.566052612226
2025-08-31,12772.094772943205,13551.19048488746,17570.558091609175
2025-09-30,13305.52972148871,14630.601493928516,18442.74395939431
2025-10-31,13787.608634378015,15492.210015663179,19163.22112261338
2025-11-30,13900.828733328386,15928.360936651869,19704.597952425203
2025-12-31,14040.887637514932,15866.028350142195,19403.335598105754
2026-01-31,14763.6648131389,16701.071758694052,19564.00718161493
2026-02-28,15310.844557037193,17763.12241785927,19443.259061599147
2026-03-31,14296.749460396497,17160.123812043374,19399.497446709465
2026-04-30,14944.77059923161,17994.107084221843,21019.36470203724
2026-05-31,15605.5417680566,19188.22114524954,22444.946995618262
2026-06-30,15318.137697627923,19440.65524651077,23006.048517255145
2026-07-31,14411.942021462592,16991.861969816586,21111.688287757177
2026-08-31,14672.91342988064,17378.146974705436,21127.96710772683
