date,KAW Direct Proxy v2_drawdown,KAW Core_drawdown,benchmark_drawdown
2021-11-30,0.0,0.0,0.0
2021-12-31,0.0,0.0,0.0
2022-01-31,-0.04152734075605802,-0.03334200498194684,-0.03855491004093736
2022-02-28,-0.04056140561196109,-0.03359316388297717,-0.07475262193375876
2022-03-31,-0.03813856983925845,-0.033148039772617266,-0.02641650220051428
2022-04-30,-0.07723077136814127,-0.06251810977878114,-0.06960680823864529
2022-05-31,-0.09318092317809801,-0.09514361202558486,-0.08989746693340794
2022-06-30,-0.12375560148625753,-0.10683095630939454,-0.13403043390642144
2022-07-31,-0.08470835784456587,-0.07501667028048431,-0.048821676059115915
2022-08-31,-0.11000509070533093,-0.07663025464908191,-0.05444495810446459
2022-09-30,-0.15204564783269447,-0.10359491464775761,-0.08565454400806027
2022-10-31,-0.1569535789760722,-0.11251177777762822,-0.017230396674590254
2022-11-30,-0.12788601184951975,-0.09353460165017102,-0.032853838287267956
2022-12-31,-0.15353473093661285,-0.14660233142441847,-0.13336273527968134
2023-01-31,-0.11083139409347109,-0.11446840728304186,-0.09988303811213539
2023-02-28,-0.11744568905196151,-0.09905349688947607,-0.06063095509376437
2023-03-31,-0.08755694039346607,-0.0650793357323125,-0.04194734295256175
2023-04-30,-0.07316329027650881,-0.031415059770383946,0.0
2023-05-31,-0.08510847267737698,-0.04825161849478532,-0.008622364600434529
2023-06-30,-0.08552986262284101,-0.028476829051276797,0.0
2023-07-31,-0.07707093360183337,-0.04204365857114556,-0.002500920282190733
2023-08-31,-0.08312188273899013,-0.04061235747975667,0.0
2023-09-30,-0.10447081231576838,-0.07255532923774899,-0.03074396162702686
2023-10-31,-0.12614290010829932,-0.09327772548094726,-0.05163046445148256
2023-11-30,-0.08078793198102652,-0.061593535385015774,-0.010845785371064398
2023-12-31,-0.029827979070414234,-0.003415961912435983,0.0
2024-01-31,-0.03467506325056102,-0.003228662900940593,0.0
2024-02-29,-0.024403382592931067,0.0,0.0
2024-03-31,0.0,0.0,0.0
2024-04-30,0.0,-0.004234751727525632,-0.014966156802127206
2024-05-31,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0
2024-07-31,0.0,0.0,-0.0017777167993413556
2024-08-31,-0.001091858145198521,-0.01093813297701296,-0.004621112358154766
2024-09-30,0.0,0.0,0.0
2024-10-31,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0
2024-12-31,-0.00036150022543479654,0.0,0.0
2025-01-31,0.0,0.0,0.0
2025-02-28,0.0,0.0,-0.007079090039700864
2025-03-31,0.0,0.0,-0.04811213302041084
2025-04-30,0.0,-0.020365091552650205,-0.0872712978326009
2025-05-31,-0.0035790764629901606,-0.03749052738976588,-0.0662547467937995
2025-06-30,0.0,-0.0074880923467283145,-0.03396888980049628
2025-07-31,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0
2025-12-31,0.0,-0.003913308265525606,-0.015288936878936399
2026-01-31,0.0,0.0,-0.007134922069951255
2026-02-28,0.0,0.0,-0.013262838016641298
2026-03-31,-0.0662337791271349,-0.03394665597809721,-0.015483721436609588
2026-04-30,-0.023909455578485894,0.0,0.0
2026-05-31,0.0,0.0,0.0
2026-06-30,-0.018416795437180777,0.0,0.0
2026-07-31,-0.07648563339449199,-0.12596248663653953,-0.0823418340649481
2026-08-31,-0.0597626376602306,-0.10609252855175821,-0.08163424536463548
