series,133690,402970,069500,168580,200250,101280,TLT,385560,132030,optimized,provided,benchmark
133690,1.0,0.34338955681722283,0.5197056945872635,0.12787406303260435,0.3845607251943168,0.5654607535638793,0.37016364300135646,0.18913324534019874,-0.11857479959343427,0.5629078210773665,0.6017069111078532,0.8461217865829505
402970,0.34338955681722283,1.0,0.22324148774101452,-0.024541245134344355,0.31213395201139665,0.4708411480487684,0.3534596646938598,0.02697022287036301,-0.1923950485203593,0.5467458354738619,0.34702542665989333,0.5898382432117674
069500,0.5197056945872635,0.22324148774101452,1.0,0.17590199003707307,0.2612053056305531,0.630647303191199,0.24818787701001502,0.17161799885067516,0.26342917508680463,0.6046083324760282,0.7296459043038531,0.4847396835789666
168580,0.12787406303260435,-0.024541245134344355,0.17590199003707307,1.0,-0.0856963733846185,0.11094319113580248,0.3342367262959315,0.0028445596138068105,0.08273629243768282,0.11625093540767341,0.3421593439873126,0.11791437559386783
200250,0.3845607251943168,0.31213395201139665,0.2612053056305531,-0.0856963733846185,1.0,0.4674343713616616,0.2920282647358051,0.05397455105281232,-0.16727981427189076,0.26167458894835055,0.3496073563286732,0.4716212552138689
101280,0.5654607535638793,0.4708411480487684,0.630647303191199,0.11094319113580248,0.4674343713616616,1.0,0.3824340798615543,0.27879660332405787,0.07144350110987657,0.671726398064475,0.6919602955438198,0.6532101780798323
TLT,0.37016364300135646,0.3534596646938598,0.24818787701001502,0.3342367262959315,0.2920282647358051,0.3824340798615543,1.0,0.4376640323699758,-0.025482679778497545,0.3585375619684061,0.642398312174008,0.44504289850032464
385560,0.18913324534019874,0.02697022287036301,0.17161799885067516,0.0028445596138068105,0.05397455105281232,0.27879660332405787,0.4376640323699758,1.0,0.23842833920187922,0.30414896203745573,0.5897801438286705,0.235126249950807
132030,-0.11857479959343427,-0.1923950485203593,0.26342917508680463,0.08273629243768282,-0.16727981427189076,0.07144350110987657,-0.025482679778497545,0.23842833920187922,1.0,0.5800353231649275,0.4502428460330564,-0.1549735340487746
optimized,0.5629078210773665,0.5467458354738619,0.6046083324760282,0.11625093540767341,0.26167458894835055,0.671726398064475,0.3585375619684061,0.30414896203745573,0.5800353231649275,1.0,0.8354298435014946,0.6092807161158672
provided,0.6017069111078532,0.34702542665989333,0.7296459043038531,0.3421593439873126,0.3496073563286732,0.6919602955438198,0.642398312174008,0.5897801438286705,0.4502428460330564,0.8354298435014946,1.0,0.6225529321890203
benchmark,0.8461217865829505,0.5898382432117674,0.4847396835789666,0.11791437559386783,0.4716212552138689,0.6532101780798323,0.44504289850032464,0.235126249950807,-0.1549735340487746,0.6092807161158672,0.6225529321890203,1.0
