portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months
optimized,1,2022-04-30,2022-12-31,2023-04-30,-0.08226375421437548,13
optimized,2,2026-06-30,2026-07-31,,-0.06322840129631035,3
optimized,3,2026-03-31,2026-03-31,2026-05-31,-0.040820632136648105,3
optimized,4,2022-01-31,2022-01-31,2022-03-31,-0.037011066471791754,3
optimized,5,2023-09-30,2023-10-31,2023-11-30,-0.029237313964288636,3
optimized,6,2025-04-30,2025-04-30,2025-07-31,-0.011991570090717607,4
optimized,7,2023-05-31,2023-05-31,2023-06-30,-0.003300540825718734,2
optimized,8,2025-02-28,2025-02-28,2025-03-31,-0.0015891668974891138,2
provided,1,2022-01-31,2022-12-31,2024-03-31,-0.1577778360069162,27
provided,2,2026-06-30,2026-07-31,,-0.08398028888313225,3
provided,3,2026-03-31,2026-03-31,2026-05-31,-0.06006556473034863,3
provided,4,2025-04-30,2025-05-31,2025-06-30,-0.014265917597718447,3
provided,5,2024-08-31,2024-08-31,2024-09-30,-0.006388640434434545,2
benchmark,1,2022-01-31,2022-06-30,2023-04-30,-0.134030670376743,16
benchmark,2,2025-02-28,2025-04-30,2025-07-31,-0.08727139198411604,6
benchmark,3,2026-07-31,2026-07-31,,-0.0823418340649481,2
benchmark,4,2023-09-30,2023-10-31,2023-12-31,-0.051630326161706486,4
benchmark,5,2025-12-31,2026-03-31,2026-04-30,-0.015483721436609588,5
benchmark,6,2024-04-30,2024-04-30,2024-05-31,-0.014966218302117529,2
benchmark,7,2023-05-31,2023-05-31,2023-06-30,-0.008622364252217185,2
benchmark,8,2024-07-31,2024-08-31,2024-09-30,-0.004621002027219601,3
benchmark,9,2023-07-31,2023-07-31,2023-08-31,-0.002500920282190733,2
