portfolio,date,portfolio_return,benchmark_return,active_return,cumulative_active_return,annual_active_return,rolling_active_return,rolling_tracking_error_pct
Growth 70/30,2020-01-31,0.034767811092084995,-0.0004040140102572476,0.03517182510234224,0.03517182510234229,0.23387165377642183,,
Growth 70/30,2020-02-29,-0.04431051122389735,-0.07916547168656818,0.03485496046267083,0.06845422212169694,0.23387165377642183,,
Growth 70/30,2020-03-31,-0.051667913539134705,-0.12487139632848954,0.07320348278935483,0.13229839594155657,0.23387165377642183,,
Growth 70/30,2020-04-30,0.12659913473385195,0.12698370986213248,-0.0003845751282805232,0.14873747425997996,0.23387165377642183,,
Growth 70/30,2020-05-31,0.05397082822229724,0.04764536905584449,0.006325459166452753,0.16250728266932846,0.23387165377642183,,
Growth 70/30,2020-06-30,0.05221971309649069,0.017734278718209318,0.034485434378281374,0.20379123444406644,0.23387165377642183,,
Growth 70/30,2020-07-31,0.08379722097543993,0.05889193496560541,0.02490528600983452,0.24497496735549662,0.23387165377642183,,
Growth 70/30,2020-08-31,0.07564234347755341,0.06979678649637133,0.005845556981182082,0.2694967588646775,0.23387165377642183,,
Growth 70/30,2020-09-30,-0.052964546927731254,-0.037443374448828504,-0.01552117247890275,0.23820446584533705,0.23387165377642183,,
Growth 70/30,2020-10-31,-0.022872598034017533,-0.02493369976034543,0.0020611017263278963,0.2349314298871723,0.23387165377642183,,
Growth 70/30,2020-11-30,0.062354516967824264,0.10877662058422666,-0.046422103616402394,0.20180746761042112,0.23387165377642183,,
Growth 70/30,2020-12-31,0.05535850631445409,0.03704855725569267,0.01830994905876142,0.23387165377642183,0.23387165377642183,,
Growth 70/30,2021-01-31,-0.007842033190826702,-0.010190540587581842,0.0023485073967551406,0.23481665149482356,-0.11257777325915463,,
Growth 70/30,2021-02-28,-0.01970506494709909,0.02780579752001744,-0.04751086246711653,0.17454211405883124,-0.11257777325915463,,
Growth 70/30,2021-03-31,0.008587534346016256,0.045399083332606116,-0.03681154898658986,0.13172632350231606,-0.11257777325915463,,
Growth 70/30,2021-04-30,0.052058824265587056,0.052910493301890016,-0.00085166903630296,0.13751203432665005,-0.11257777325915463,,
Growth 70/30,2021-05-31,0.014626630332662417,0.00656605549801359,0.008060574834648827,0.15020415469503567,-0.11257777325915463,,
Growth 70/30,2021-06-30,0.022391968781400786,0.02242737354966251,-3.540476826172437e-05,0.15352029979401682,-0.11257777325915463,,
Growth 70/30,2021-07-31,0.027615722578796652,0.024412735065397095,0.0032029875133995564,0.16212771719774577,-0.11257777325915463,,
Growth 70/30,2021-08-31,0.029300874187458824,0.029759562334542355,-0.0004586881470835316,0.16623742790026785,-0.11257777325915463,,
Growth 70/30,2021-09-30,-0.0494526330241118,-0.04660527022518435,-0.002847362798927451,0.15392049775521377,-0.11257777325915463,,
Growth 70/30,2021-10-31,0.05948711556338688,0.07016330753116806,-0.010676191967781183,0.14843440207001057,-0.11257777325915463,,
Growth 70/30,2021-11-30,0.011907773664322507,-0.008034704935967918,0.019942478600290425,0.17947204872734845,-0.11257777325915463,,
Growth 70/30,2021-12-31,0.017963699299682778,0.04624778938474572,-0.02828409008506294,0.14151624244421268,-0.11257777325915463,,
Growth 70/30,2022-01-31,-0.06626535786973906,-0.052741385131259366,-0.01352397273847969,0.11153797685620193,-0.05415614244356404,,
Growth 70/30,2022-02-28,-0.012966542739471523,-0.029516769466335635,0.016550226726864112,0.13397251986472614,-0.05415614244356404,,
Growth 70/30,2022-03-31,0.03649269681430345,0.03759030660232643,-0.0010976097880229796,0.13732451309857696,-0.05415614244356404,,
Growth 70/30,2022-04-30,-0.10138098884962028,-0.08776902633846118,-0.013611962511159106,0.1036245399055098,-0.05415614244356404,,
Growth 70/30,2022-05-31,-0.020890918895854947,0.002257212867133651,-0.023148131762988598,0.07077800715480387,-0.05415614244356404,,
Growth 70/30,2022-06-30,-0.06705306720107056,-0.08246049162068037,0.015407424419609808,0.08650001144265196,-0.05415614244356404,,
Growth 70/30,2022-07-31,0.08009756448728006,0.09208758892363145,-0.011990024436351387,0.07881382247491109,-0.05415614244356404,,
Growth 70/30,2022-08-31,-0.04475513101748229,-0.04080184449552415,-0.003953286521958137,0.07002410388168134,-0.05415614244356404,,
Growth 70/30,2022-09-30,-0.0824133335463518,-0.09244598754494349,0.010032653998591684,0.07706319126965333,-0.05415614244356404,,
Growth 70/30,2022-10-31,0.022645739091604042,0.08127544357125216,-0.05862970447964812,0.010868628360418686,-0.05415614244356404,,
Growth 70/30,2022-11-30,0.06428468832961413,0.05559150717499772,0.008693181154616411,0.022459652277810216,-0.05415614244356404,,
Growth 70/30,2022-12-31,-0.05430393920130658,-0.05762824262137323,0.003324303420066649,0.025636826894874565,-0.05415614244356404,0.0073285031847856175,8.810979746582305
Growth 70/30,2023-01-31,0.09177852299138012,0.06288739154288647,0.028891131448493645,0.06399989778662696,0.15132417062216996,0.00462224605787287,8.732606868193427
Growth 70/30,2023-02-28,-0.018621542894224852,-0.025142732052405803,0.006521189158180951,0.07144734153805876,0.15132417062216996,-0.00665539753366895,8.495069741154243
Growth 70/30,2023-03-31,0.09019751438832894,0.03707786046244155,0.0531196539258874,0.14649486084147179,0.15132417062216996,-0.018909252988958958,7.957610492537653
Growth 70/30,2023-04-30,0.006142531313306887,0.015974841370329118,-0.009832310057022231,0.13422562126074777,0.15132417062216996,-0.021783832044771412,7.972459839078367
Growth 70/30,2023-05-31,0.05116064801406667,0.004616201255000174,0.04654444675906649,0.20442874304199887,0.15132417062216996,-0.00689460510750739,8.43412840114218
Growth 70/30,2023-06-30,0.03746274673595626,0.06479987277566668,-0.02733712603971042,0.17471608224113,0.15132417062216996,-0.029298374616449907,8.309971442205839
Growth 70/30,2023-07-31,0.03388674015218045,0.032733329717433035,0.0011534104347474122,0.1823155806598522,0.15132417062216996,-0.03719253342202111,8.156186680491743
Growth 70/30,2023-08-31,-0.014214380245043201,-0.016252219185540095,0.002037838940496894,0.18278751735971577,0.15132417062216996,-0.03737070582721391,8.145226589643638
Growth 70/30,2023-09-30,-0.04984074139906694,-0.04743426801427053,-0.0024064733847964093,0.17011844604089443,0.15132417062216996,-0.03236232141577955,8.110972293073262
Growth 70/30,2023-10-31,0.007658739680312087,-0.02170858744874582,0.02936732712905791,0.21279106243775603,0.15132417062216996,-0.022558344473837533,8.315294599798104
Growth 70/30,2023-11-30,0.08332595650729295,0.09134369676079168,-0.008017740253498731,0.21947268823848143,0.15132417062216996,-0.009692829950557647,7.894154224138564
Growth 70/30,2023-12-31,0.042955050454857986,0.04565546498449269,-0.0027004145296347024,0.22483872380963166,0.15132417062216996,-0.016991946729507656,7.812878246912162
