date,portfolio,ticker,cumulative_active_contribution_pct
2020-01-31,Growth 70/30,QQQ,2.1551653350194044
2020-02-29,Growth 70/30,QQQ,3.4565490896448128
2020-03-31,Growth 70/30,QQQ,7.097476429027908
2020-04-30,Growth 70/30,QQQ,8.6902121212006
2020-05-31,Growth 70/30,QQQ,9.975670646416585
2020-06-30,Growth 70/30,QQQ,13.134931656738067
2020-07-31,Growth 70/30,QQQ,14.155079377585569
2020-08-31,Growth 70/30,QQQ,16.930608864483503
2020-09-30,Growth 70/30,QQQ,15.506611684457134
2020-10-31,Growth 70/30,QQQ,15.120537116702943
2020-11-30,Growth 70/30,QQQ,15.364213161072202
2020-12-31,Growth 70/30,QQQ,16.20250640521661
2021-01-31,Growth 70/30,QQQ,17.09878602375324
2021-02-28,Growth 70/30,QQQ,15.058938127687385
2021-03-31,Growth 70/30,QQQ,13.082748907297065
2021-04-30,Growth 70/30,QQQ,13.515880165626507
2021-05-31,Growth 70/30,QQQ,12.215405924044015
2021-06-30,Growth 70/30,QQQ,15.028985283205376
2021-07-31,Growth 70/30,QQQ,15.322745181257478
2021-08-31,Growth 70/30,QQQ,16.1926295910558
2021-09-30,Growth 70/30,QQQ,15.476792981884763
2021-10-31,Growth 70/30,QQQ,16.070157655229067
2021-11-30,Growth 70/30,QQQ,18.030383978088636
2021-12-31,Growth 70/30,QQQ,15.599679337432775
2022-01-31,Growth 70/30,QQQ,13.168668889958223
2022-02-28,Growth 70/30,QQQ,12.101670761519786
2022-03-31,Growth 70/30,QQQ,12.737851582278159
2022-04-30,Growth 70/30,QQQ,9.364673446749213
2022-05-31,Growth 70/30,QQQ,8.096040986296396
2022-06-30,Growth 70/30,QQQ,7.632758211950712
2022-07-31,Growth 70/30,QQQ,9.972828960763888
2022-08-31,Growth 70/30,QQQ,9.23644344745156
2022-09-30,Growth 70/30,QQQ,8.332783540065684
2022-10-31,Growth 70/30,QQQ,5.443408630345314
2022-11-30,Growth 70/30,QQQ,5.432912171937749
2022-12-31,Growth 70/30,QQQ,3.1573006653249913
2023-01-31,Growth 70/30,QQQ,6.205258326866636
2023-02-28,Growth 70/30,QQQ,7.713374198605215
2023-03-31,Growth 70/30,QQQ,11.76283693091736
2023-04-30,Growth 70/30,QQQ,11.0001454867276
2023-05-31,Growth 70/30,QQQ,16.195672902651918
2023-06-30,Growth 70/30,QQQ,16.07236766378388
2023-07-31,Growth 70/30,QQQ,16.483109328022806
2023-08-31,Growth 70/30,QQQ,16.582655698285755
2023-09-30,Growth 70/30,QQQ,16.347156153311655
2023-10-31,Growth 70/30,QQQ,16.420907775627064
2023-11-30,Growth 70/30,QQQ,17.60003288361683
2023-12-31,Growth 70/30,QQQ,18.315019909627296
2024-01-31,Growth 70/30,QQQ,18.473629770548722
2024-02-29,Growth 70/30,QQQ,18.518882095425976
2024-03-31,Growth 70/30,QQQ,17.122225620642894
2024-04-30,Growth 70/30,QQQ,16.88295573652996
2024-05-31,Growth 70/30,QQQ,17.648651261872946
2024-06-30,Growth 70/30,QQQ,19.708136775218208
2024-07-31,Growth 70/30,QQQ,17.685822596180074
2024-08-31,Growth 70/30,QQQ,16.82293700092334
2024-09-30,Growth 70/30,QQQ,17.18772785769513
2024-10-31,Growth 70/30,QQQ,17.20713503599009
2024-11-30,Growth 70/30,QQQ,16.778378578438765
