date,Growth 70/30_drawdown_pct,Balanced 50/50_drawdown_pct,benchmark_drawdown_pct
2020-01-31,0.0,0.0,0.0
2020-02-29,-4.431051122389739,-3.3468001911882594,-7.916547168656818
2020-03-31,-9.368899310024092,-6.975266678485226,-19.415136502455255
2020-04-30,0.0,0.0,-9.182171576803476
2020-05-31,0.0,0.0,-4.855122624729924
2020-06-30,0.0,0.0,-3.16779685074704
2020-07-31,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0
2020-09-30,-5.296454692773123,-4.9750117341986755,-3.7443374448828504
2020-10-31,-7.462570816981695,-6.668511875078231,-6.144347235265268
2020-11-30,-1.6924441188303274,-3.95389800287429,0.0
2020-12-31,0.0,0.0,0.0
2021-01-31,-0.7842033190826658,-1.4812357960005573,-1.0190540587581731
2021-02-28,-2.73925703645832,-4.629092615265629,0.0
2021-03-31,-1.904027065739844,-4.3556307098565945,0.0
2021-04-30,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0
2021-06-30,0.0,-0.4427628294215391,0.0
2021-07-31,0.0,0.0,0.0
2021-08-31,0.0,0.0,0.0
2021-09-30,-4.945263302411195,-4.453338337414891,-4.660527022518435
2021-10-31,0.0,0.0,0.0
2021-11-30,0.0,0.0,-0.8034704935967918
2021-12-31,0.0,0.0,0.0
2022-01-31,-6.626535786973897,-5.212885924325361,-5.274138513125937
2022-02-28,-7.837266801424613,-4.43289900127729,-8.070139929134045
2022-03-31,-4.474000121231447,-1.5943561756205038,-4.614468303161223
2022-04-30,-14.158520449789712,-9.3024825050399,-12.986363546969192
2022-05-31,-15.951827836973354,-11.501062236719239,-12.78995524715133
2022-06-30,-21.58751557314792,-16.13568381921373,-19.981338411732764
2022-07-31,-15.30686654516028,-11.95774584277074,-12.61261279717324
2022-08-31,-19.09731882921275,-15.512668438364729,-16.178179380693138
2022-09-30,-25.764778477334993,-21.18334092477767,-23.927170365660068
2022-10-31,-24.083667019325294,-20.31027888324838,-17.744317393408792
2022-11-30,-19.203409214535416,-14.717645592743889,-13.171600023600138
2022-12-31,-23.590982368222136,-17.31152941408556,-18.17536812386574
2023-01-31,-16.578275586755232,-10.530156232774335,-13.029630461218733
2023-02-28,-18.13171680622667,-13.09231235828433,-15.21630315903103
2023-03-31,-10.74740115490852,-5.527493064951505,-12.072705078071644
2023-04-30,-10.199164271708538,-4.880225455265419,-10.668080489571697
2023-05-31,-5.604895323644388,-1.7689465001428095,-10.25570637061608
2023-06-30,-2.0685954240399984,0.0,-4.440287561089928
2023-07-31,0.0,0.0,-1.3122999861239881
2023-08-31,-1.4214380245043179,-1.3803881620549685,-2.9161941176663264
2023-09-30,-6.334666639416897,-6.232690439823763,-7.521293385734362
2023-10-31,-5.617308234138529,-3.7446160104233406,-9.528875475417065
2023-11-30,0.0,0.0,-1.2649085112357294
2023-12-31,0.0,0.0,0.0
2024-01-31,0.0,0.0,0.0
2024-02-29,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0
2024-04-30,-2.1647947054515115,-0.6921398447467642,-4.0319628763473165
2024-05-31,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0
2024-07-31,0.0,0.0,0.0
2024-08-31,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0
2024-10-31,0.0,0.0,-0.8923538766048789
2024-11-30,0.0,0.0,0.0
2024-12-31,-0.10482828090156993,-0.47740554167946536,-2.406006954082074
2025-01-31,0.0,0.0,0.0
2025-02-28,-1.345935855562097,-0.4409187003626691,-1.2694838334663117
2025-03-31,-3.788955790155313,0.0,-6.77068016056932
2025-04-30,-1.2825613631365362,0.0,-7.578993950540802
2025-05-31,0.0,0.0,-1.7707910509884295
2025-06-30,0.0,0.0,0.0
2025-07-31,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0
2025-12-31,0.0,0.0,0.0
