date,Coverage Probe_drawdown
2024-04-30,0.0
2024-05-31,0.0
2024-06-30,-0.01341831600134169
2024-07-31,0.0
2024-08-31,0.0
2024-09-30,0.0
2024-10-31,0.0
2024-11-30,-0.058548653106102244
2024-12-31,-0.0019241341396371014
2025-01-31,0.0
2025-02-28,0.0
2025-03-31,0.0
2025-04-30,0.0
2025-05-31,-0.039691804809712794
2025-06-30,-0.06140555685267324
2025-07-31,-0.030819519028718045
2025-08-31,0.0
2025-09-30,0.0
2025-10-31,-0.03302919708029195
2025-11-30,0.0
2025-12-31,0.0
2026-01-31,0.0
2026-02-28,-0.05389390519187354
2026-03-31,-0.11004514672686228
2026-04-30,-0.1439051918735892
2026-05-31,-0.15335778781038378
2026-06-30,-0.22672121896162523
2026-07-31,-0.2641083521444695
2026-08-31,-0.2261568848758465
