date,Coverage Probe_balance
2024-04-01,10000.0
2024-04-30,10393.258426966291
2024-05-31,10466.994382022473
2024-06-30,10326.544943820227
2024-07-31,10761.938202247193
2024-08-31,10832.162921348316
2024-09-30,11179.775280898879
2024-10-31,12773.876404494382
2024-11-30,12025.983146067416
2024-12-31,12749.29775280899
2025-01-31,13325.140449438204
2025-02-28,13915.028089887643
2025-03-31,14820.926966292138
2025-04-30,15038.62359550562
2025-05-31,14441.71348314607
2025-06-30,14115.168539325847
2025-07-31,14575.140449438206
2025-08-31,15094.803370786523
2025-09-30,19241.57303370787
2025-10-31,18606.039325842707
2025-11-30,19578.651685393266
2025-12-31,20368.679775280903
2026-01-31,24887.640449438208
2026-02-28,23546.34831460675
2026-03-31,22148.87640449439
2026-04-30,21306.179775280903
2026-05-31,21070.92696629214
2026-06-30,19245.084269662926
2026-07-31,18314.60674157304
2026-08-31,19259.12921348315
