portfolio,market_type,portfolio_return,benchmark_return,active_return,occurrences,above_benchmark_count,below_benchmark_count,total_count,pct_above_benchmark,above_active_return,below_active_return,above_active_return_pct,below_active_return_pct,overall_active_return_pct
Sample Portfolio,up,0.030411152054060468,0.04164723441886345,-0.011236082364802991,52,18,34,52,34.61538461538461,0.00755938535167858,-0.02118662409705794,0.755938535167858,-2.118662409705794,-1.123608236480299
Sample Portfolio,down,-0.027068336862715908,-0.03943759029353804,0.012369253430822144,28,21,7,28,75.0,0.01942248380153213,-0.008790437681307812,1.9422483801532129,-0.8790437681307812,1.2369253430822145
Portfolio 2,up,0.04251816961284723,0.04164723441886345,0.0008709351939837767,52,24,28,52,46.15384615384615,0.02845535994797338,-0.022772857452293023,2.8455359947973378,-2.2772857452293023,0.08709351939837767
Portfolio 2,down,-0.03045088714767018,-0.03943759029353804,0.008986703145867869,28,18,10,28,64.28571428571429,0.024314913547755047,-0.01860407557752906,2.431491354775505,-1.860407557752906,0.8986703145867868
Portfolio 3,up,0.042605786072487814,0.04164723441886345,0.0009585516536243494,52,23,29,52,44.230769230769226,0.022901946039896284,-0.01644483010100511,2.290194603989628,-1.644483010100511,0.09585516536243494
Portfolio 3,down,-0.032059837621831615,-0.03943759029353804,0.007377752671706436,28,19,9,28,67.85714285714286,0.017301590609828315,-0.013572571864328647,1.7301590609828315,-1.3572571864328646,0.7377752671706436
