asset,Sample Portfolio_contribution_balance,Portfolio 2_contribution_balance,Portfolio 3_contribution_balance
contribution_SPY,8756.005157829424,0.0,0.0
contribution_GLD,3561.4423183571753,2050.140004395038,2141.374683962099
contribution_TLT,-739.7484713789956,0.0,0.0
contribution_QQQ,0.0,7066.8408568525865,9592.444072381735
contribution_SLV,0.0,3189.871930887207,3339.8966330492626
contribution_GDX,0.0,3627.040853719611,0.0
contribution_AIA,0.0,4746.880632740214,0.0
contribution_XLF,0.0,1367.7709280221416,0.0
contribution_XLE,0.0,2807.770708115815,2832.1552978303257
contribution_EWY,0.0,0.0,4071.4583282767308
contribution_EWJ,0.0,0.0,1341.2268156347866
contribution_INDY,0.0,0.0,309.006300704833
