asset,Sample Portfolio_risk_contribution_pct,Portfolio 2_risk_contribution_pct,Portfolio 3_risk_contribution_pct
SPY,74.09212870787118,0.0,0.0
GLD,12.961527567364742,5.603493258445977,4.4006646511908265
TLT,12.946343724764068,0.0,0.0
QQQ,0.0,26.8680170991884,42.52563330718527
SLV,0.0,13.829635568081855,12.294762638332973
GDX,0.0,16.138493972473608,0.0
AIA,0.0,20.40748414190724,0.0
XLF,0.0,7.477114739503203,0.0
XLE,0.0,9.675761220399725,9.91652490042621
EWY,0.0,0.0,16.602433684442662
EWJ,0.0,0.0,7.1511671894300965
INDY,0.0,0.0,7.108813628991957
