point,ex_ante_sharpe,ex_post_sharpe,expected_return_pct,volatility_pct,maximum_drawdown_pct,mdd_depth_pct,tuw_pct,pain_area_pct_months,pain_index_pct,max_underwater_months,observations,delta_sharpe,delta_mdd_depth_pct,delta_tuw_pct,delta_pain_index_pct,mdd_cost_per_0_10_sharpe,tuw_cost_per_0_10_sharpe,pain_cost_per_0_10_sharpe,segment
1,1.2381160495989671,1.2381160495989671,16.90520794974848,10.55290834438327,-9.23630711739455,9.23630711739455,51.85185185185185,148.2141254526644,1.3723530134505963,12,108,,,,,,,,gmv_to_max_sharpe
2,1.2436535473593815,1.2436535473593813,16.964443855396944,10.553550966540604,-9.284464128113223,9.284464128113223,50.92592592592593,147.08365783663925,1.3618857207096227,12,108,0.005537497760414123,0.04815701071867373,-0.9259259259259167,-0.010467292740973688,0.8696529154907018,-16.72101671164687,-0.1890256789953246,gmv_to_max_sharpe
3,1.2490382960542104,1.2490382960542101,17.023679761045404,10.555478598273895,-9.332681772616402,9.332681772616402,50.0,145.9868618012474,1.3517302018634016,11,108,0.005384748694828856,0.048217644503179,-0.9259259259259309,-0.010155518846221012,0.8954483716108039,-17.195341480190653,-0.18859782362682365,gmv_to_max_sharpe
4,1.2542684969481726,1.2542684969481728,17.08291566669387,10.558690535795552,-9.380960050904042,9.380960050904042,49.074074074074076,144.97980899370816,1.3424056388306311,11,108,0.005230200893962644,0.048278278287639864,-0.9259259259259238,-0.009324563032770516,0.9230673786043043,-17.703448580622286,-0.1782830759624186,gmv_to_max_sharpe
5,1.2593425229800057,1.2593425229800055,17.142151572342335,10.563185607552816,-9.429298962976207,9.429298962976207,49.074074074074076,144.0984058733484,1.3342444988273001,11,108,0.005074026031832712,0.048338912072164675,0.0,-0.008161140003331013,0.9526737105584953,0.0,-0.16084150834329186,gmv_to_max_sharpe
6,1.264258921207568,1.2642589212075674,17.2013874779908,10.568962176361286,-9.477698508832866,9.477698508832866,49.074074074074076,143.3176518455066,1.3270152948658018,11,108,0.004916398227561958,0.04839954585665929,0.0,-0.007229203961498287,0.9844512917062991,0.0,-0.1470426850487913,gmv_to_max_sharpe
7,1.2690164147164975,1.2690164147164975,17.260623383639263,10.576018142379112,-9.526158688474018,9.526158688474018,49.074074074074076,142.536153241014,1.3197791966760557,11,108,0.004757493508930066,0.048460179641152124,0.0,-0.007236098189746132,1.0186073727728648,0.0,-0.15209896085330635,gmv_to_max_sharpe
8,1.2736139039875023,1.2736139039875016,17.319859289287727,10.58435094690935,-9.574679501899686,9.574679501899686,48.148148148148145,141.82598197080046,1.3132035367666708,11,108,0.004597489271004118,0.04852081342566805,-0.9259259259259309,-0.006575659909384912,1.0553763275030075,-20.13981700328587,-0.14302719423092314,gmv_to_max_sharpe
9,1.2780504677206,1.2780504677205995,17.37909519493619,10.59395757701444,-9.623260949109824,9.623260949109824,48.148148148148145,141.28814659073296,1.3082235795438237,11,108,0.004436563733097865,0.048581447210137796,0.0,-0.0049799572228470534,1.0950242154239365,0.0,-0.11224807131012993,gmv_to_max_sharpe
10,1.2823253631178246,1.2823253631178246,17.43833110058465,10.604834570923522,-9.67190303010449,9.67190303010449,49.074074074074076,140.75786064112285,1.3033135244548413,11,108,0.0042748953972251424,0.04864208099466616,0.9259259259259309,-0.004910055088982457,1.13785429758679,21.65961596456733,-0.11485790019960722,gmv_to_max_sharpe
11,1.2864380256291066,1.2864380256291061,17.497567006233115,10.61697802421008,-9.720605744883636,9.720605744883636,49.074074074074076,140.42731250880033,1.300252893600003,11,108,0.004112662511281506,0.04870271477914656,0.0,-0.003060630854838209,1.1842137458531892,0.0,-0.07441969396814221,gmv_to_max_sharpe
12,1.2903880681690965,1.2903880681690962,17.55680291188158,10.630383596714513,-9.769369093447288,9.769369093447288,49.074074074074076,140.09581307020335,1.2971834543537346,11,108,0.003950042539990095,0.04876334856365183,0.0,-0.003069439246268457,1.2345018583970517,0.0,-0.07770648582119205,gmv_to_max_sharpe
13,1.2941752798157005,1.2941752798157007,17.61603881753004,10.645046520183286,-9.818193075795435,9.818193075795435,49.074074074074076,139.76336331882888,1.2941052159150823,11,108,0.003787211646604449,0.048823982348146444,0.0,-0.003078238438652292,1.2891801912343932,0.0,-0.08127981021108735,gmv_to_max_sharpe
14,1.2977996240039311,1.2977996240039307,17.675274723178507,10.66096160659383,-9.867077691928083,9.867077691928083,50.0,139.72662030907514,1.2937650028618068,11,108,0.0036243441882299887,0.04888461613264816,0.9259259259259238,-0.00034021305327547324,1.3487851482593824,25.547406036459133,-0.0093868858918066,gmv_to_max_sharpe
15,1.3012612362313587,1.3012612362313583,17.73451062882697,10.678123257131904,-9.916022941845226,9.916022941845226,49.074074074074076,139.73602769042913,1.293852108244714,11,108,0.0034616122274275796,0.048945249917142775,-0.9259259259259238,8.710538290723768e-05,1.413943755147738,-26.748401181087957,0.0025163241051978868,gmv_to_max_sharpe
16,1.3045604212939614,1.3045604212939612,17.793746534475435,10.69652547178601,-9.965028825546895,9.965028825546895,48.148148148148145,140.09434669624468,1.2971698768170805,7,108,0.0032991850626029606,0.04900588370166936,-0.9259259259259309,0.0033177685723664307,1.4853935978664123,-28.0652921359738,0.1005632757608574,gmv_to_max_sharpe
