year,Jan_pct,Feb_pct,Mar_pct,Apr_pct,May_pct,Jun_pct,Jul_pct,Aug_pct,Sep_pct,Oct_pct,Nov_pct,Dec_pct,YTD_pct,portfolio
2017,,,,,,,,,1.241942990399414,0.6276489987778217,-2.4334992991593074,0.8152136885614683,0.2085092775750974,optimized
2018,5.459464044511372,-1.4092632994875682,-3.047547691525553,1.1692155036941867,2.6692617082373133,2.208060191861923,-0.1660113818345704,1.3685602977422466,-0.10582099861946004,-1.6846554106925835,-1.2511768838204878,-2.6298053848572063,2.271727700200743,optimized
2019,5.728092504104897,2.08837202197062,2.56004818231718,3.5427026392600904,0.14818710736969704,4.13097464318403,3.278297202508144,4.720322725519619,-1.8367091208460549,-1.109758784015117,0.9892664010024298,1.668191318928582,28.851748112590414,optimized
2020,5.45366950820215,-2.698052135909335,-5.3150907584962885,11.769730478562037,5.4690310264868325,-0.29745148076688066,7.624362746276336,3.900496921313665,-5.935246467508511,-5.284190244254121,0.8704493315294989,3.9036169644629846,19.231677704329098,optimized
2021,0.7699578619090502,-1.5372331523174625,1.3151714704635713,2.3728597169432795,4.618281225623766,0.9136517503765463,3.040925388597272,3.3590847457071282,-1.3705498648525216,3.2574702910263706,0.8587389420795427,2.064340817904834,21.309273381403425,optimized
2022,-2.660220512255933,2.776069125737187,4.372963928593414,-1.3393520680513589,-2.873094362120981,-2.0819737874279194,4.237264216188259,0.5027644792659214,0.4227269331663573,4.532317417309445,-1.0769685706454517,-5.302108461135447,0.9340899341021336,optimized
2023,1.3495850902615856,2.4081587235973916,4.061836684476132,4.779806582327773,-2.791612009463168,2.2643168214538245,-0.7821051007165554,3.499519516518728,-0.7697404617844406,1.1978290646807166,1.1940923630282647,4.287219488142253,22.42874225729119,optimized
2024,3.4362288888678587,5.058510609462446,7.472358700906168,1.6245644865224895,3.149982793412759,3.887855343327648,0.6978179539418966,-0.41450532999635065,1.8384941247438102,6.921615411190558,2.8474909730933664,3.8056581606832673,48.2660404480129,optimized
2025,3.1208652481716843,1.188141194194427,2.954341763007333,-0.8118602128871568,0.8607826295557555,1.8505084941217542,4.273416386765739,2.5317405315647625,9.060088422693203,4.040498584671455,4.839638508960552,-0.30551674448832195,38.791528246982395,optimized
2026,5.914348410338814,4.595139879608392,-2.6984091975386986,5.179743683537492,5.792875168179677,-0.3815253130651985,-11.01832363269659,3.4283114116497004,,,,,9.965050591645852,optimized
2017,,,,,,,,,3.3580534528771753,1.472519599112712,-1.9289596535325046,1.3506781955585332,4.2461938524446685,provided
2018,5.960127014361716,-3.475884287310998,-2.7710488689389856,2.041827278544676,3.1390525740143547,2.503763230928736,0.8709836755134931,1.266965358753891,0.1128284720171158,-5.394482501979233,-0.6365244458725562,-5.748466395914462,-2.7990463698499,provided
2019,7.623394581607898,2.464282491269809,3.1461388461415845,4.450247826565795,-3.9648713325646763,4.477685439924851,3.1217180985691533,0.76439326052471,0.223316326718962,-0.9527910400566025,2.1676342205126535,2.8350174734314484,29.186732464439856,provided
2020,1.5451026922686923,-4.623065443226007,-11.583491093409489,14.43857790054795,5.469026502479392,0.2523515482591419,6.465738842456595,5.249416165586168,-7.370679400961107,-4.305224883129113,7.381326404082708,4.513457967614305,15.503439793001238,provided
2021,3.016555597814854,3.5979251968257575,1.5919021498657044,1.7220846065841997,3.0449542420327984,3.016102702098407,-0.07475853069482657,2.6130614600711146,-1.0328697366726782,4.758467221779761,-0.2648324312010735,2.103122648103728,26.73879765596139,provided
2022,-0.8609658515112617,1.1762815455241393,4.229744287607414,-2.367408201889834,-0.11136073436988024,-4.616862794475674,5.398335331270869,0.6742187463076149,-2.6509888091329485,6.322181381328693,1.5350645732025447,-5.777784534403412,2.181998272626151,provided
2023,2.0591834475893194,1.0660180712562781,3.393572786392592,3.7266863744546534,-3.43078140433201,4.183289436100482,0.9705301724596749,2.2806193624743956,-0.888585809736655,-1.8187235172891887,1.8835780314653419,4.237457930407899,18.780844136938015,provided
2024,2.087760717653011,5.280053419035649,7.022613022059003,0.9379610454760202,3.8144866659703998,3.8588612740316672,-0.4001542509662088,-0.9926801152813194,1.3765895445959182,5.4331874900275885,3.6661610932181556,2.6278107257618495,40.376507821114,provided
2025,1.8181493072909685,1.6119829358413558,0.6484755390081508,-5.154824556166626,1.674470592844245,3.9879644554056517,4.979042234980965,2.202775667118775,7.550820696413625,3.4722922890516172,3.42467976511551,1.447893271596724,30.81510114682109,provided
2026,8.219352856741466,3.351297414118327,-0.5634459525361263,7.3857102062192865,7.5045234782914525,0.9899268183495383,-9.594547242972492,2.6071856182749884,,,,,20.279225189747674,provided
2017,,,,,,,,,4.048786315086206,0.34757263825033746,-0.8686136267994526,0.16661081666251576,3.6759562318485317,benchmark
2018,5.937225453104111,-3.020650467828312,-4.307953570011769,1.2219424676350954,3.4365807531393067,4.3552132815571465,2.9327967334354277,3.4935357115960297,0.3113504170779935,-4.7855012876549585,0.003475193884727723,-8.863613355252708,-0.39211143229422873,benchmark
2019,7.300261376891104,3.809442669329832,3.5648643693795945,6.740794730362087,-4.355435489653903,4.000305638248514,4.217697445400415,0.05378682609269436,1.1722223678043653,-0.715918228567336,4.80499925566249,1.0992495348415288,35.93186340749583,benchmark
2020,2.6194843395743073,-6.040172948878697,-12.10062852576118,12.355617286910125,6.9255532465086755,-1.4812128718504125,5.108992658022338,6.753036365692933,-5.630472877984327,-5.363834449653138,8.404947457871902,2.0229622089131594,11.175531894814771,benchmark
2021,1.337912896851856,3.4125869792968055,5.2937457479516725,3.369623816266487,1.6271370088005055,3.3683041190246232,3.5766744657229843,4.444708188048163,-2.5774828342385425,5.538197318205196,1.1823946268179952,4.550058853336103,40.98879834280016,benchmark
2022,-3.855484804181364,-3.7649206980425953,5.2241142725193646,-4.436183837459817,-2.180899904395517,-4.849247119530842,9.8397309825647,-0.5911827182006557,-3.3006614470211915,7.483391756889213,-1.589744112031477,-10.392317208230539,-13.33626169188057,benchmark
2023,3.8631730402627573,4.360767435860735,1.9889457285787948,4.958485977181937,-0.8622212337495161,6.587129154811167,-0.2500991563952337,1.9705150780807923,-3.0743893450885795,-2.1549078448120262,4.300520063644364,3.711716167414192,27.935901022071775,benchmark
2024,5.470817476582512,5.754848485718478,4.541927177914595,-1.4966215822457274,4.311836851613338,4.380667869823651,-0.17777167993413556,-0.284823825794267,0.7560970764393771,3.8726495444395326,7.0955665573840365,2.7836404446204055,43.41165478688911,benchmark
