point,sharpe,expected_return_pct,volatility_pct,weight_SPY_pct,weight_QQQ_pct,weight_TLT_pct,weight_GLD_pct,weight_CPER_pct,weight_MCHI_pct,weight_EWY_pct
1,0.5769163116486974,6.883277015803251,9.05956417526158,31.568347250372103,0.0,43.13382091328572,14.233927744152847,11.06390409218933,0.0,0.0
2,0.588621209659667,6.989739143950578,9.060279157061675,32.33875172854213,0.0,42.52053705879287,14.485254972236428,10.655456240428567,0.0,0.0
3,0.6002295574649043,7.096201272097908,9.062423764010147,33.10915620671217,0.0,41.907253204300034,14.736582200320003,10.247008388667798,0.0,0.0
4,0.61173600044913,7.202663400245236,9.065996981552104,33.87956068488221,0.0,41.293969349807185,14.987909428403576,9.83856053690703,0.0,0.0
5,0.6231353384926189,7.3091255283925625,9.070997121426856,34.64996516305223,0.0,40.68068549531436,15.23923665648715,9.430112685146266,0.0,0.0
6,0.6344225376418137,7.415587656539893,9.077421825648688,35.42036964122227,0.0,40.06740164082151,15.49056388457073,9.021664833385495,0.0,0.0
7,0.645592741073356,7.522049784687219,9.085268072049303,36.19077411939229,0.0,39.45411778632867,15.741891112654303,8.613216981624735,0.0,0.0
8,0.6566412792967165,7.628511912834547,9.094532181351612,36.96117859756232,0.0,38.84083393183583,15.993218340737878,8.20476912986397,0.0,0.0
9,0.6675636795468973,7.734974040981876,9.105209825736482,37.73158307573236,0.0,38.22755007734299,16.244545568821454,7.796321278103193,0.0,0.0
10,0.678355674325395,7.841436169129206,9.117296038856184,38.50198755390239,0.0,37.61426622285014,16.495872796905044,7.387873426342422,0.0,0.0
11,0.6890132090546186,7.947898297276533,9.13078522724106,39.272392032072425,0.0,37.0009823683573,16.74720002498861,6.979425574581658,0.0,0.0
12,0.6995324488181827,8.054360425423859,9.145671183039049,40.04279651024246,0.0,36.38769851386446,16.998527253072186,6.570977722820892,0.0,0.0
13,0.7099097841668479,8.160822553571188,9.161947098021502,40.81320098841248,0.0,35.77441465937163,17.24985448115576,6.162529871060127,0.0,0.0
14,0.7201418359772526,8.267284681718518,9.179605578783043,41.583605466582526,0.0,35.16113080487878,17.50118170923934,5.754082019299357,0.0,0.0
15,0.7302254593579086,8.373746809865846,9.198638663058317,42.354009944752555,0.0,34.54784695038594,17.752508937322915,5.345634167538591,0.0,0.0
16,0.7401577466040772,8.480208938013172,9.219037837074119,43.12441442292259,0.0,33.9345630958931,18.003836165406494,4.93718631577782,0.0,0.0
17,0.749936029210087,8.586671066160502,9.240794053851847,43.89481890109262,0.0,33.32127924140026,18.25516339349007,4.528738464017057,0.0,0.0
18,0.7595578789542694,8.69313319430783,9.263897752372346,44.66522337926265,0.0,32.70799538690741,18.50649062157365,4.120290612256287,0.0,0.0
19,0.7690211080779341,8.799595322455158,9.288338877513116,45.43562785743268,0.0,32.094711532414586,18.757817849657226,3.711842760495523,0.0,0.0
20,0.7783237685856059,8.906057450602486,9.314106900666335,46.206032335602714,0.0,31.48142767792173,19.009145077740808,3.303394908734752,0.0,0.0
21,0.7874641506990722,9.012519578749814,9.34119084094556,46.97643681377274,0.0,30.86814382342889,19.26047230582438,2.8949470569739884,0.0,0.0
22,0.7964407805025705,9.118981706897143,9.369579286888854,47.74684129194278,0.0,30.254859968936042,19.511799533907958,2.4864992052132164,0.0,0.0
