date,TO-BE Direct_drawdown_pct,KAW Direct Proxy_drawdown_pct,benchmark_drawdown_pct
2022-06-30,0.0,0.0,0.0
2022-07-31,0.0,0.0,0.0
2022-08-31,0.0,-2.1938781138813424,-0.5912070139255543
2022-09-30,-4.086175077836995,-6.1096745519728435,-3.87233122516073
2022-10-31,0.0,-6.947687686984116,0.0
2022-11-30,-0.6900586628347916,-4.448929250820665,-1.5897677611298566
2022-12-31,-5.712667687708251,-7.866096650930954,-11.816842671376316
2023-01-31,-1.8922251918715216,-3.254877325667893,-8.4101828073618
2023-02-28,-1.0166573040510274,-3.231670646333973,-4.416163691095331
2023-03-31,0.0,-0.009715257110287645,-2.515030629259485
2023-04-30,0.0,0.0,0.0
2023-05-31,0.0,-1.6133164022714253,-0.8622364252217185
2023-06-30,0.0,-1.4199811812254937,0.0
2023-07-31,0.0,-1.059924599706763,-0.2500989304618506
2023-08-31,0.0,-1.3560545331697815,0.0
2023-09-30,-1.7764759920370077,-3.7957682483481303,-3.0743890055949574
2023-10-31,-3.4657953033251476,-6.182488766664207,-5.163039286872484
2023-11-30,0.0,-1.7074770222552105,-1.0845853783212567
2023-12-31,0.0,0.0,0.0
2024-01-31,0.0,-0.28484925021270424,0.0
2024-02-29,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0
2024-04-30,0.0,0.0,-1.4966151842814357
2024-05-31,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0
2024-07-31,-1.9204729555067135,0.0,-0.1777830030762928
2024-08-31,-2.750031452933832,-0.6388588189455868,-0.46211123581548774
2024-09-30,-0.060232853526420715,0.0,0.0
2024-10-31,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0
2025-01-31,0.0,0.0,0.0
2025-02-28,-2.1682350437662756,0.0,-0.7078986299077106
2025-03-31,-4.30111282278266,0.0,-4.811213302041106
2025-04-30,-6.30572923810131,-0.4592782425495989,-8.727139970499865
2025-05-31,-1.7571789556980577,-1.4265943715587426,-6.6254844849606975
2025-06-30,0.0,0.0,-3.396888980049606
2025-07-31,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0
2025-12-31,0.0,0.0,-1.528893687893651
2026-01-31,0.0,0.0,-0.7134922069951144
2026-02-28,0.0,0.0,-1.326283801664141
2026-03-31,-4.0646701920327155,-6.006557831039538,-1.5483721436609588
2026-04-30,0.0,-2.035481978307496,0.0
2026-05-31,0.0,0.0,0.0
2026-06-30,0.0,-1.2906076853208437,0.0
2026-07-31,-12.273108781972898,-8.398030062239359,-8.234183406494822
2026-08-31,-10.406564492007341,-7.264620012162859,-8.163424536463548
