date,TO-BE Direct_balance,KAW Direct Proxy_balance,benchmark_balance
2022-06-01,10000.0,10000.0,10000.0
2022-06-30,9420.675970257238,9729.784334582611,9515.076912068122
2022-07-31,9956.713614019003,10137.210838483232,10451.333099179225
2022-08-31,10034.55557834912,9914.812788539743,10389.544084848154
2022-09-30,9624.526069134916,9517.860247604589,10046.62286413415
2022-10-31,10154.572121018307,9432.909089254314,10798.451907865712
2022-11-30,10084.499616423414,9686.21350027259,10626.781600733351
2022-12-31,9574.475160635864,9339.808036219494,9522.415834968986
2023-01-31,9962.424749217638,9807.257061446295,9890.282362049158
2023-02-28,10051.334921854846,9809.609571458983,10321.574595510154
2023-03-31,10540.665210167683,10136.225982386462,10526.867534897034
2023-04-30,10802.79209625011,10343.596783417119,11048.839886882255
2023-05-31,10856.883730954456,10176.72183992543,10953.57276481313
2023-06-30,11179.687273272977,10196.71965563075,11675.097027218377
2023-07-31,11427.461144331119,10233.962456615205,11645.89773442292
2023-08-31,11615.307415973073,10203.331970342788,11875.383562278545
2023-09-30,11408.964268327018,9950.977820975015,11510.288075667622
2023-10-31,11212.7446370835,9704.105074213316,11262.252843491307
2023-11-30,11766.379794351924,10166.982245065543,11746.584888542506
2023-12-31,12240.475281737421,10790.891855879767,12182.585658333322
2024-01-31,12546.496547596222,10760.15408133703,12849.072696952224
2024-02-29,13448.579972681906,10887.67022829763,13588.517406360877
2024-03-31,14488.314247030705,11312.091657852707,14205.699701678122
2024-04-30,14640.818422899329,11338.705854271357,13993.095042909385
2024-05-31,15353.376394476698,11445.92697667501,14596.449179228093
2024-06-30,15858.900540539924,11740.53139625606,15235.874760338687
2024-07-31,15554.334644618146,12064.659905721937,15208.787964644815
2024-08-31,15422.775787585582,11987.58376193844,15165.468071196387
2024-09-30,15849.34827220644,12300.724288566771,15280.133801598047
2024-10-31,16854.815419475195,12508.78529911794,15871.881541236986
2024-11-30,17715.009467468695,12707.907449339948,16998.08156469175
2024-12-31,18361.226860984025,12792.41022998554,17471.24699340983
2025-01-31,18860.83270181538,12937.418138337141,17625.881646876027
2025-02-28,18451.88551762849,13120.50566672493,17501.108272188638
2025-03-31,18049.607007994015,13318.091639040567,16777.862884479506
2025-04-30,17671.519659587633,13256.924541819637,16087.646284518509
2025-05-31,18529.41411870966,13128.096493318979,16458.08159302472
2025-06-30,19990.005789113762,13326.170153905321,17027.15001557671
2025-07-31,21208.8638164276,13655.621214369177,17974.891907388264
2025-08-31,21502.13160447094,13921.992271899662,18250.13302014976
2025-09-30,23448.85864318605,14569.739793498149,19156.05234396309
2025-10-31,24430.152593883908,15150.742829077404,19904.395338999057
2025-11-30,24531.796948191743,15342.492729279451,20466.71095279911
2025-12-31,24830.33008864172,15437.428597118263,20153.796700922325
2026-01-31,27873.679381549584,16234.846118544698,20320.68256512267
2026-02-28,28168.68743979455,16871.013900526745,20195.264280698713
2026-03-31,27023.723197942356,15857.646693908884,20149.81010168236
2026-04-30,31085.665057614046,16527.60745302377,21832.328820244555
2026-05-31,34905.213689170814,17328.58996956692,23313.048234697777
2026-06-30,35239.70520743562,17104.945855661954,23895.851430492206
2026-07-31,30914.697852880476,15873.329774560496,21928.223197161962
2026-08-31,31572.46255823056,16069.733754812116,21945.13163161853
