asset,TO-BE Direct_risk_contribution_pct,KAW Direct Proxy_risk_contribution_pct
SPMO,19.620046298439508,0.0
426030,53.02601482606366,0.0
277540,14.926111233433502,0.0
132030,3.5263800629083497,17.158870848111007
144600,3.9292703333138697,0.0
XLE,4.972177245841083,0.0
133690,0.0,10.848494681181059
402970,0.0,4.708463214129709
069500,0.0,22.620881383139974
168580,0.0,5.243098441101308
200250,0.0,4.4654784285749916
101280,0.0,4.373240631549368
TLT,0.0,13.442456017922508
385560,0.0,17.139016354290064
