date,asset_QQQ,asset_SPMO,asset_AIA,asset_GLD,asset_XLE,asset_144600,asset_SCHD,asset_138920,optimized,provided,benchmark
2015-11-30,0.019301471936549852,0.023581947716932783,-0.01331166992273225,-0.055274221708548454,0.012984171959831814,-0.1017607457276023,0.01598344081388481,-0.015119001170503354,-0.0116593769747161,-0.004808389324231846,0.016836149579865456
2015-12-31,0.009071468326225407,-0.008766911069770345,-0.011246730594575927,0.007691952813815739,-0.0978971424988504,-0.004324012683770584,0.014473005077166645,-0.0074279488957116335,0.004495712204051007,-0.015020824415766352,0.0002557250807568856
2016-01-31,-0.052250845319774086,-0.010219286645857584,-0.05223790969888675,0.08715028968905503,-0.0006512325254798279,0.01852924145917778,-0.00395582034295594,-0.0004989024146876408,0.014800302680328715,-0.006651128338346358,-0.025380923708107517
2016-02-29,0.01333063787416422,0.02736650705302557,0.029973630402448048,0.14196708507914702,0.0006186107025984988,0.034110289937464566,0.03709507984076055,-0.003993211540381347,0.0669136601476849,0.03738393582495918,0.028594942413392666
2016-03-31,-0.0178510254027624,-0.03138413292071085,0.02194607270892268,-0.08858507976449925,0.012603365414249224,0.04123144584936789,-0.02201756241569286,0.042497744813070115,-0.04200811278378029,-0.014866796498556493,-0.01900956414306776
2016-04-30,-0.037638836243329865,-0.000999841675086044,-0.016508599622425457,0.04482278743702994,0.08414335819309815,0.15522703273495253,-0.007696458486622815,0.10508604941832522,0.009971236092459946,0.021771727500804965,-0.0020429421428468375
2016-05-31,0.09316094217820226,0.047789671050331606,0.045436047892884135,-0.016902129126876497,0.0376143553163395,-0.09346435100548445,0.06204587628013747,0.071167565686445,0.03704481297324163,0.04009981830611374,0.06520742576934802
2016-06-30,-0.05280276733556133,-0.03619008348304176,0.016616474826960825,0.0562171861685401,-0.0043508296240979405,0.1356188555583564,-0.0024468066154474943,0.04540285899935026,0.00529138405706993,0.0014025999391027895,-0.027352902248375388
2016-07-31,0.045541058505919496,0.023050258293997095,0.030824175266354503,-0.004868961018503204,-0.036532018639673924,0.09633740288568249,0.0035503401896448405,-0.12679667469505085,0.009750850938055795,0.010786296120223748,0.01135262370372181
2016-08-31,0.0024858006904879826,-0.007931663660775023,0.015408893655660671,-0.04023654909335228,0.008706075047578699,-0.07268677870014173,-0.011190538114181026,-0.023044754871429873,-0.017131324752633705,-0.008853513236861977,-0.00674353228456992
2016-09-30,0.010377104743083176,-0.00660018762099035,0.02554710412451211,-0.004690636301625362,0.024954290616887365,0.01637554585152845,-0.009687146841036665,-0.0022768670309654127,-0.00013565891778264825,0.007847573789361002,-0.011446386087714089
2016-10-31,0.025753246970160237,0.021538029246718438,0.01869006920004379,0.01026721071242287,0.011585366480227899,-0.0653061224489796,0.024684243456794874,0.050114103149246914,0.019737138075894063,0.016014263410133026,0.022875282540117725
2016-11-30,0.022892459589881398,0.012088279378796862,0.004743451892175399,-0.06665476037088591,0.10468428826761911,-0.07101815674557577,0.051708645264626485,0.025556328233657943,-0.009483211447057749,0.013724435599707372,0.05597121280729089
2016-12-31,0.05898967960043722,0.07284131349747369,0.01065269076348474,0.02283411366853172,0.05739133058298762,-0.03958436417615041,0.06307226181136483,-0.03127648754026102,0.04158317268304403,0.039608489376580465,0.05297159991479772
2017-01-31,0.005236317797467915,-0.026952367232752406,0.0383546466284419,0.012089579807346151,-0.06774322944638789,0.0618238021638331,-0.041936576161547556,0.004812319538017418,-0.0014383598980013247,-0.005703083061631726,-0.012575788314089231
2017-02-28,0.012264777042005903,0.008474791217636168,-0.010695171052594321,0.000721294364240288,-0.05038741844701866,0.06283357593401262,0.002937494772709881,-0.009578544061302652,0.003847880746685568,-0.0020966542861064964,0.007940670541434214
2017-03-31,0.005044906366715507,-0.03342809960687365,0.018037272501016055,-0.01913499546028863,-0.0295594502341312,-0.014836795252225476,-0.01352140757569309,-0.06004923509759097,-0.014380210370198456,-0.01469558652331767,-0.013690311168337743
2017-04-30,0.03915158752890857,0.03798647826142787,0.03545424018043897,0.029033623676822273,-0.018245287240531316,-0.03915662650602414,0.014062622219256804,-0.021981105602843498,0.02920820165869441,0.020010244156096233,0.02160754359789996
2017-05-31,0.028932818569717078,0.008706058666848149,0.03326575139563559,-0.010894138427974598,-0.04469954747730054,-0.01326259946949604,0.007620565739346885,-0.0453328232593726,0.005318095700925287,0.001629842421391027,0.0043123032641227965
2017-06-30,0.0004944283514962677,0.03994326062664011,0.0476265995129348,0.0021577348942756203,0.02309202951694167,-0.028103616813294208,0.023256019382899007,0.008014425966740069,0.013538453712283446,0.019177333811067333,0.03076500452800013
2017-07-31,0.015727040330210107,-0.0012075599912531043,0.027817224907273452,-0.0013365784018719573,0.001644514698548205,-0.008800603469952262,-0.0076831857806756165,0.07185450208706023,0.006677705831389407,0.009891205890205474,-0.0038524283657560554
2017-08-31,0.025124443415046827,0.014987836220207162,0.018146225272889893,0.04646767431218013,-0.05072410538111172,0.035514967021816446,0.00408072801325754,-0.06193787668057482,0.024741564357903943,0.008988815975369505,0.007229774595054472
2017-09-30,0.01692548129191973,0.03229568358020862,0.025619100378292847,-0.01443387268246843,0.12378984470872201,-0.02817246447819699,0.04898451157591377,0.023129386181674372,0.012621220818401096,0.032287565499077193,0.04048801222916287
2017-10-31,0.025534110294627377,0.05664317648903028,0.03325071221951692,-0.02696372008011061,-0.027785791898062406,-0.001260398285858333,0.01577640961152027,0.017872669307313238,0.009808893315260647,0.014830071424581877,0.0034758643334105166
2017-11-30,-0.019121632219368356,-0.012947865685355553,-0.023959549586563877,-0.03466024427485548,-0.021232306976773807,-0.022715800100959083,0.002380086596796227,-0.0028473804100227484,-0.020774203850779042,-0.01955086940238304,-0.00868613826544018
2017-12-31,0.005636381431611603,0.002392663859473343,0.008610248121105446,0.00777649178041484,0.048807306225862046,0.011621900826446208,0.015406318717317458,-0.0317913573196269,0.005829368420224005,0.011146759088531176,0.0016661073754113964
2018-01-31,0.07982265563011559,0.0730881904984153,0.08917916895182199,0.03809449196655801,0.03186927274190898,0.019147306612203208,0.04190358285923246,0.030377506881635874,0.056822440002699204,0.059025029092403106,0.059371924264734144
2018-02-28,-0.0066239222427719735,0.0013438059600883179,-0.06034127258670319,-0.01450580379687727,-0.1026553437335157,-0.0410821643286573,-0.05023379642964321,0.04283942371911076,-0.015199587565983965,-0.030105213126060636,-0.030206079352143367
2018-03-31,-0.05624207821059113,-0.05501624150746587,0.0020903451613492052,-0.009892779000364449,0.0008417460738776583,-0.009143155694879779,-0.03957494119817806,-0.031473010064043905,-0.0320216225314978,-0.027305322456237124,-0.043079782331466365
2018-04-30,0.01210897011884593,0.021253729106590402,-0.007735604940215968,-0.002591646928578939,0.10262275071082616,0.006591088847877735,-0.004281433317968708,0.02777252975628186,0.005389853059464875,0.022020973935701495,0.012219425018728192
2018-05-31,0.0671045464373059,0.04973803924658915,-0.002941422933894544,-0.002258495292760343,0.04005361934972829,0.0,0.02793982719145638,-0.03529411764705881,0.024915702838387562,0.028228857782459902,0.03436580913798415
2018-06-30,0.04946567997535478,0.03746172924365587,-0.014140891303366487,7.702618975224951e-05,0.04349455061728169,-0.02488213724463073,0.044814311585479105,-0.15539253048780488,0.016238870695075968,0.015027066862004425,0.043552199492887134
2018-07-31,0.020312640302732055,0.02765157809129226,0.005044977946808471,-0.029694965756958847,0.007980378765990226,-0.04297609454740803,0.0376641876099002,0.006204173716864103,0.003571511070921168,0.007137015661148654,0.029327841221597817
2018-08-31,0.06089820367928733,0.04763031061473755,-0.007962050121364861,-0.01852145921337256,-0.031930817726238514,-0.057255122088127997,0.02588821828761123,-0.05930493273542603,0.015492740743558464,0.00840996197286145,0.034935361038204826
2018-09-30,-0.005623567727325973,0.010813779262458079,-0.0085230463503837,-0.009403659365775696,0.021576082140489783,-0.02828222685323012,0.009569873834555542,0.018948873793350085,-0.0016154523868066152,0.0015972748094097544,0.0031142152474452622
