date,optimized_drawdown,provided_drawdown
2011-12-31,0.0,0.0
2012-01-31,0.0,0.0
2012-02-29,0.0,0.0
2012-03-31,0.0,0.0
2012-04-30,-0.008218780656147784,0.0
2012-05-31,-0.0735247781454682,-0.06315012589995606
2012-06-30,-0.040886509872629095,-0.03898013940464229
2012-07-31,-0.03104609265643743,-0.025586840277418754
2012-08-31,0.0,-0.0031830951302334043
2012-09-30,0.0,0.0
2012-10-31,-0.03758665698300079,-0.024660334685350338
2012-11-30,-0.03041623704886398,-0.011166229100767366
2012-12-31,-0.03433807263613042,-0.0025753388930217502
2013-01-31,-0.00682855690101869,0.0
2013-02-28,-0.010541527040670684,-0.006267519461392479
2013-03-31,0.0,-0.00040196408536241623
2013-04-30,0.0,0.0
2013-05-31,0.0,0.0
2013-06-30,-0.03674045408388249,-0.04550608587769445
2013-07-31,0.0,-0.002848587547630843
2013-08-31,-0.001712610386348623,0.0
2013-09-30,0.0,0.0
2013-10-31,0.0,0.0
2013-11-30,0.0,0.0
2013-12-31,0.0,0.0
2014-01-31,-0.014312385053394938,-0.02702420822494611
2014-02-28,0.0,0.0
2014-03-31,-0.01690909158194076,-0.01341991068826831
2014-04-30,-0.015430977914956734,-0.011725705031473965
2014-05-31,0.0,0.0
2014-06-30,0.0,0.0
2014-07-31,-0.005065424434725574,0.0
2014-08-31,0.0,0.0
2014-09-30,-0.019605297810364464,-0.033822808098714074
2014-10-31,-0.004977454625396893,-0.02011300352560963
2014-11-30,0.0,-0.0064579440801525445
2014-12-31,-0.009560043395885343,-0.010373166520661226
2015-01-31,-0.013072806242337753,-0.015301928375625273
2015-02-28,0.0,0.0
2015-03-31,-0.020730057203198315,-0.004094479911703641
2015-04-30,-0.008598696945289919,0.0
2015-05-31,0.0,-0.007016408247534023
2015-06-30,-0.02161836072966583,-0.03833983468736646
2015-07-31,-0.004435245345843608,-0.048367187495066744
2015-08-31,-0.05059039051680447,-0.09650160277926101
2015-09-30,-0.07185547117638913,-0.10656791736409865
2015-10-31,0.0,-0.042933745620234554
2015-11-30,-0.008370069670944225,-0.06231930582339584
2015-12-31,-0.02249038818173954,-0.073252682662867
2016-01-31,-0.06170413046163714,-0.11042721774369912
2016-02-29,-0.050210735534371165,-0.10346250517335143
2016-03-31,0.0,-0.04929631763233
2016-04-30,-0.005191944735635889,-0.05157414020911821
2016-05-31,0.0,-0.052715230705940974
2016-06-30,0.0,-0.034112357465880816
2016-07-31,0.0,0.0
2016-08-31,-0.00043188581432063167,0.0
2016-09-30,0.0,0.0
2016-10-31,-0.018208068320309634,-0.02324028575646353
2016-11-30,-0.019977028422554888,-0.01908026069214419
2016-12-31,-0.011683010354594958,-0.021324184790615486
2017-01-31,0.0,0.0
2017-02-28,0.0,0.0
2017-03-31,0.0,0.0
2017-04-30,0.0,0.0
2017-05-31,0.0,0.0
2017-06-30,-0.013598594160653343,-0.0006652771292776638
2017-07-31,0.0,0.0
2017-08-31,0.0,0.0
2017-09-30,-0.0014196891155632274,-0.004221791205314629
2017-10-31,0.0,0.0
2017-11-30,0.0,0.0
2017-12-31,0.0,0.0
2018-01-31,0.0,0.0
2018-02-28,-0.02174160681879267,-0.03402328529598053
2018-03-31,-0.0489606751632935,-0.04782142597370431
2018-04-30,-0.046700246069532714,-0.049000326168393005
2018-05-31,-0.014505730408867157,-0.028714868841207664
2018-06-30,-0.01371208611285435,-0.04283681086386715
2018-07-31,0.0,-0.03717196928301747
2018-08-31,0.0,-0.026031109986092926
2018-09-30,-0.0007708805790918039,-0.024108072520393486
2018-10-31,-0.06145491982015949,-0.09366290577931446
2018-11-30,-0.05664129884590763,-0.07421854585310028
2018-12-31,-0.11489613823046141,-0.11824681911382917
2019-01-31,-0.04801662361039605,-0.05243523322654031
2019-02-28,-0.02516936441242068,-0.03432256489906815
2019-03-31,-0.0033969089530461183,-0.016452733106056883
2019-04-30,0.0,0.0
2019-05-31,-0.05787751781892536,-0.06074551645748594
2019-06-30,0.0,-0.00017548799439548457
2019-07-31,0.0,-0.0005307979930365692
2019-08-31,-3.366341973010112e-05,-0.00217613401857375
2019-09-30,0.0,0.0
2019-10-31,0.0,0.0
2019-11-30,0.0,0.0
2019-12-31,0.0,0.0
2020-01-31,0.0,-0.002319121324724893
2020-02-29,-0.05632516104110219,-0.030939566612757097
2020-03-31,-0.12808859100641323,-0.10447301419640598
2020-04-30,-0.01627066724414017,-0.013623726215715504
2020-05-31,0.0,0.0
2020-06-30,0.0,0.0
2020-07-31,0.0,0.0
2020-08-31,0.0,0.0
2020-09-30,-0.04840934386356688,-0.027951053989827224
2020-10-31,-0.07126564072511066,-0.04033182938653035
2020-11-30,0.0,0.0
2020-12-31,0.0,0.0
2021-01-31,-0.007890426954997976,0.0
2021-02-28,-0.011440661719489431,0.0
2021-03-31,0.0,0.0
2021-04-30,0.0,0.0
2021-05-31,0.0,0.0
2021-06-30,0.0,0.0
2021-07-31,0.0,0.0
2021-08-31,0.0,0.0
2021-09-30,-0.04904497208344416,-0.05024186463989733
2021-10-31,0.0,-0.0029469037653223618
2021-11-30,0.0,-0.009360726462598112
2021-12-31,0.0,0.0
2022-01-31,-0.06341662979430573,-0.05229938082039021
2022-02-28,-0.0823896041305483,-0.06916140369363388
2022-03-31,-0.04797123423620808,-0.05916241511193143
2022-04-30,-0.1425894437777342,-0.1426573623747146
2022-05-31,-0.15398648970587936,-0.1485742649545967
2022-06-30,-0.2160344646573642,-0.20528342148517154
2022-07-31,-0.14794328409004742,-0.16819778448345757
2022-08-31,-0.1853885473637933,-0.19983969308902072
2022-09-30,-0.2563207510281308,-0.2774585707939592
2022-10-31,-0.22494020095597023,-0.26805641670456803
