date,asset_SPY,asset_QQQ,asset_TLT,asset_GLD,asset_CPER,asset_MCHI,asset_EWY,optimized,provided
2011-12-31,0.010448230983016948,-0.006141790678147907,0.03444820958556494,-0.10662433944055594,-0.02777780721216938,-0.032903596887382314,-0.06070352955806746,-0.01962759841926706,-0.019108997358102
2012-01-31,0.04637480913438208,0.08418393632878018,-0.003298719448946663,0.11395480912860867,0.11020411277303888,0.09818494983997139,0.09758880520297608,0.0778523239670779,0.07619353847507532
2012-02-29,0.043405018963775355,0.06410086630563816,-0.025970427204274893,-0.029649780549572347,0.001102896266743869,0.05749222216114491,0.04375876213277197,0.0401614298812474,0.03258463096512787
2012-03-31,0.032163817502409264,0.05053056188109473,-0.04235873857479744,-0.013208340481005276,-0.0036724341957705686,-0.06849319397630671,-0.005511912337423763,0.03290590632650397,0.008267470108279894
2012-04-30,-0.0066756136827687,-0.011695067337847309,0.04834159975738328,-0.0014803247076433657,-0.006266129065709225,0.030560697490040534,-0.00503860172868964,-0.00821878065614782,0.0017680812366302262
2012-05-31,-0.060055652016845595,-0.0704016238813373,0.0902535501976629,-0.06338034010471139,-0.12054896551802208,-0.09476036074816407,-0.11174896714862281,-0.06584718102700718,-0.06315012589995606
2012-06-30,0.04058105934134448,0.03621448375095415,-0.016782330708314475,0.02354575543588089,-0.008013438804112427,0.027817146912988866,0.041619395679552085,0.03522843083434761,0.025799209845154637
2012-07-31,0.011829503240336603,0.009975016531944991,0.03817302459110583,0.008376847936764742,0.028911577038312597,-0.003911017593570265,0.014230988944520906,0.010259909090513438,0.013936547699364197
2012-08-31,0.025052656709333654,0.051851782025580384,-0.013188516205771772,0.04939609851235338,0.0,-0.024540034729890414,0.012592180636577188,0.0429812058533947,0.022992038770867685
2012-09-30,0.025351166231373012,0.008884483413241107,-0.025328506252293992,0.046705627280061,0.06942141920920708,0.05660369066251714,0.05045301731230656,0.021090725050901416,0.027521103091426715
2012-10-31,-0.018198580999783887,-0.05279286452355991,-0.004840144663268653,-0.029437416816341377,-0.04752703176671558,0.056190557794856266,-0.02621355583178797,-0.037586656983000746,-0.024660334685350477
2012-11-30,0.0056598652866091115,0.013086712247860621,0.011592053755663745,-0.004675410721908135,0.024340786643204826,0.020739359009456226,0.03577622827356275,0.007450457733325597,0.01383528842767795
2012-12-31,0.008934454643112932,-0.004669187799915875,-0.024876525145441142,-0.02426979045607558,-0.009504941430422353,0.07322051386065698,0.06844841032592486,-0.004044865164954371,0.008687901304112101
2013-01-31,0.05119030673613301,0.026715806381089502,-0.031853272244697695,-0.005061148639644464,0.04598159168356353,0.022268075163856427,-0.059668513610220186,0.028487729458495932,0.015419476496839212
2013-02-28,0.01275876380066654,0.0034393523892610744,0.012386298118849393,-0.05086846838387371,-0.05084097597338577,-0.044776035424154315,0.03558840227952342,-0.003738498690685768,-0.006267519461392468
2013-03-31,0.03797125932760159,0.030248205942191353,-0.004193762826330549,0.009477104236877087,-0.0330245548668463,-0.04328559503664209,-0.036634830776034355,0.02880852484438201,0.0059025497212801025
