year,optimized,provided
2011,-0.01962759841926709,-0.01910899735810201
2012,0.1539574900172862,0.14668789783270375
2013,0.20539116520901124,0.11072737240038277
2014,0.13344687575431102,0.08038065473792222
2015,0.03324941379254298,-0.020130277673896413
2016,0.09440471752744584,0.0853769152363768
2017,0.2540755975475151,0.2886481214168988
2018,-0.014862664777751666,-0.0728612608772835
2019,0.3274472852241894,0.25150815736625565
2020,0.3452199253798425,0.32434828469036425
2021,0.21618114962067092,0.11859613094765353
2022,-0.22513749654262794,-0.2239622922434048
2023,0.37314179227301336,0.23186923434770246
2024,0.25893334629959197,0.14356737842916112
2025,0.27319281613337854,0.3228981075044264
2026,0.08592349518307918,0.12178329248227304
