asset,Sample Portfolio,Portfolio 2,Portfolio 3
SPY,0.7409212456797423,0.0,0.0
GLD,0.12961531310831426,0.056034910787977295,0.04400661672064939
TLT,0.12946344121194348,0.0,0.0
QQQ,0.0,0.26868024625131753,0.42525640293145883
SLV,0.0,0.13829630593932773,0.12294754634403988
GDX,0.0,0.16138492622877207,0.0
AIA,0.0,0.20407488058795753,0.0
XLF,0.0,0.07477113722251091,0.0
XLE,0.0,0.09675759298213713,0.09916525670735042
EWY,0.0,0.0,0.1660243367169366
EWJ,0.0,0.0,0.07151169866050656
INDY,0.0,0.0,0.07108814191905845
