asset,Sample Portfolio_contribution_balance,Portfolio 2_contribution_balance,Portfolio 3_contribution_balance
contribution_SPY,8756.01018760542,0.0,0.0
contribution_GLD,3561.4433966866995,2050.140053165954,2141.374747772147
contribution_TLT,-739.748601274471,0.0,0.0
contribution_QQQ,0.0,7066.840812147871,9592.444039010912
contribution_SLV,0.0,3189.8720029890687,3339.8967520478864
contribution_GDX,0.0,3627.040902348826,0.0
contribution_AIA,0.0,4746.881038546269,0.0
contribution_XLF,0.0,1367.7710117165557,0.0
contribution_XLE,0.0,2807.770972490796,2832.155453527629
contribution_EWY,0.0,0.0,4071.458572719222
contribution_EWJ,0.0,0.0,1341.2267189953845
contribution_INDY,0.0,0.0,309.00620006026253
