asset,Sample Portfolio_risk_contribution_pct,Portfolio 2_risk_contribution_pct,Portfolio 3_risk_contribution_pct
SPY,74.09211927215945,0.0,0.0
GLD,12.961527960351562,5.603492497746229,4.400664256077585
TLT,12.946352767488989,0.0,0.0
QQQ,0.0,26.86800976515334,42.52562454248224
SLV,0.0,13.829635625503943,12.294762906013005
GDX,0.0,16.13849758899428,0.0
AIA,0.0,20.407491440495193,0.0
XLF,0.0,7.477109260602126,0.0
XLE,0.0,9.675763821504885,9.91652641059928
EWY,0.0,0.0,16.602436264135278
EWJ,0.0,0.0,7.151168231650501
INDY,0.0,0.0,7.108817389042099
