date,asset_SPY,asset_GLD,asset_TLT,asset_QQQ,asset_SLV,asset_GDX,asset_AIA,asset_XLF,asset_XLE,asset_EWY,asset_EWJ,asset_INDY,Sample Portfolio,Portfolio 2,Portfolio 3,benchmark
2020-01-31,-0.00040380601209111244,0.04499655849690343,0.07691193830302456,0.030384213574732755,0.008393248626320293,-0.009904448453685322,-0.05833324397531703,-0.026640918947471115,-0.10992646521812455,-0.07300197812192488,-0.02515200314148691,-0.02770618270811276,0.02413941575273093,-0.011859587272249308,-0.006085996776749435,-0.00040380601209111244
2020-02-29,-0.07916556751055837,-0.006361728631845698,0.06626520436132877,-0.06057427080911726,-0.07669441053854364,-0.09555018588177466,-0.0040224986066477175,-0.11248316763807775,-0.15288168999297047,-0.04666099887026598,-0.08294386215875016,-0.06418077752584961,-0.033723337298561716,-0.06264012673100565,-0.06602543365686628,-0.07916556751055837
2020-03-31,-0.12487139632848954,-0.002224031676743232,0.06376621565942142,-0.07285822003110054,-0.15969089406815185,-0.12128142830395572,-0.1000001764383519,-0.21035944858597577,-0.3437095354643793,-0.14628824860703415,-0.06740935203743026,-0.2700628141788012,-0.05535691994232573,-0.11871898399965164,-0.12146166727341658,-0.12487139632848954
2020-04-30,0.126983580728542,0.07261060302877431,0.012189377784425082,0.14973740918145761,0.07126431708113978,0.4001735620261271,0.06677440125241452,0.09462076096252248,0.30763936117132573,0.10017062070787408,0.04798548410421977,0.1161794780521146,0.0849320811001716,0.14437709925478354,0.12427168562686619,0.126983580728542
2020-05-31,0.047645259931829775,0.02588161543682088,-0.017619089486480943,0.06600875418345353,0.19170246015237513,0.06385620725185825,-0.000504709841092077,0.027204888593338472,0.019999828133892006,0.037582313816152846,0.07051785193799476,0.008033642850926448,0.02696388343753771,0.0531469326214601,0.06255694157208742,0.047645259931829775
2020-06-30,0.017734501342107523,0.02737702630176453,0.0033661188201943304,0.06286657886565905,0.021008426451101903,0.06876452647508269,0.09707332284571812,-0.005228237697584626,-0.010955586032971643,0.06665429332112671,-0.0009777300271711642,0.07221777085314862,0.016494234099779695,0.05120392132788643,0.04434378145263671,0.017734501342107523
2020-07-31,0.058892042432051595,0.10790463097013703,0.04435142252539315,0.07346534629472656,0.3315696245595634,0.17066514672995314,0.07195666390358046,0.038461492644920936,-0.048084345269376105,0.05478715587406069,-0.010742772028050407,0.07635085411824671,0.06638865169298011,0.10404881926878704,0.08630810507413977,0.058892042432051595
2020-08-31,0.06979677941272877,-0.0032356731296194763,-0.05046485760911046,0.10944745836455594,0.15805739443709332,-0.015603112065840086,0.03492906465277468,0.042863178433157456,-0.010546836680227933,0.046631339711715514,0.06791805552079055,0.049293753052558786,0.025895456791062244,0.061392789202346865,0.08176980691978718,0.06979677941272877
2020-09-30,-0.03744356063272425,-0.0417140433776253,0.007733373827692791,-0.05778629220876019,-0.17499047779993038,-0.07357469578520737,-0.0025000619380631806,-0.0342223471480968,-0.1460661758676356,0.03599166517782226,0.018097182381598964,-0.002291809977950532,-0.028970011056135704,-0.06603823170812421,-0.05758255985159068,-0.03744356063272425
2020-10-31,-0.02493370221777136,-0.0051942084141127776,-0.03385151931810959,-0.030449050728262428,0.01617377039470491,-0.04264552053694848,0.03397363742613391,-0.008724556152234442,-0.04106860912484189,-0.006733953067444731,-0.014051047510328707,0.008039196036565333,-0.022514269414696517,-0.010302714278709837,-0.01603995142429139,-0.02493370221777136
