date,portfolio,ticker,cumulative_active_contribution_pct
2020-01-31,Sample Portfolio,SPY,0.0
2020-02-29,Sample Portfolio,SPY,0.0
2020-03-31,Sample Portfolio,SPY,0.0
2020-04-30,Sample Portfolio,SPY,0.0
2020-05-31,Sample Portfolio,SPY,0.0
2020-06-30,Sample Portfolio,SPY,0.0
2020-07-31,Sample Portfolio,SPY,0.0
2020-08-31,Sample Portfolio,SPY,0.0
2020-09-30,Sample Portfolio,SPY,0.0
2020-10-31,Sample Portfolio,SPY,0.0
2020-11-30,Sample Portfolio,SPY,0.0
2020-12-31,Sample Portfolio,SPY,0.0
2021-01-31,Sample Portfolio,SPY,0.0
2021-02-28,Sample Portfolio,SPY,0.0
2021-03-31,Sample Portfolio,SPY,0.0
2021-04-30,Sample Portfolio,SPY,0.0
2021-05-31,Sample Portfolio,SPY,0.0
2021-06-30,Sample Portfolio,SPY,0.0
2021-07-31,Sample Portfolio,SPY,0.0
2021-08-31,Sample Portfolio,SPY,0.0
2021-09-30,Sample Portfolio,SPY,0.0
2021-10-31,Sample Portfolio,SPY,0.0
2021-11-30,Sample Portfolio,SPY,0.0
2021-12-31,Sample Portfolio,SPY,0.0
2022-01-31,Sample Portfolio,SPY,0.0
2022-02-28,Sample Portfolio,SPY,0.0
2022-03-31,Sample Portfolio,SPY,0.0
2022-04-30,Sample Portfolio,SPY,0.0
2022-05-31,Sample Portfolio,SPY,0.0
2022-06-30,Sample Portfolio,SPY,0.0
2022-07-31,Sample Portfolio,SPY,0.0
2022-08-31,Sample Portfolio,SPY,0.0
2022-09-30,Sample Portfolio,SPY,0.0
2022-10-31,Sample Portfolio,SPY,0.0
2022-11-30,Sample Portfolio,SPY,0.0
2022-12-31,Sample Portfolio,SPY,0.0
2023-01-31,Sample Portfolio,SPY,0.0
2023-02-28,Sample Portfolio,SPY,0.0
2023-03-31,Sample Portfolio,SPY,0.0
2023-04-30,Sample Portfolio,SPY,0.0
2023-05-31,Sample Portfolio,SPY,0.0
2023-06-30,Sample Portfolio,SPY,0.0
2023-07-31,Sample Portfolio,SPY,0.0
2023-08-31,Sample Portfolio,SPY,0.0
2023-09-30,Sample Portfolio,SPY,0.0
2023-10-31,Sample Portfolio,SPY,0.0
2023-11-30,Sample Portfolio,SPY,0.0
2023-12-31,Sample Portfolio,SPY,0.0
2024-01-31,Sample Portfolio,SPY,0.0
2024-02-29,Sample Portfolio,SPY,0.0
2024-03-31,Sample Portfolio,SPY,0.0
2024-04-30,Sample Portfolio,SPY,0.0
2024-05-31,Sample Portfolio,SPY,0.0
2024-06-30,Sample Portfolio,SPY,0.0
2024-07-31,Sample Portfolio,SPY,0.0
2024-08-31,Sample Portfolio,SPY,0.0
2024-09-30,Sample Portfolio,SPY,0.0
2024-10-31,Sample Portfolio,SPY,0.0
2024-11-30,Sample Portfolio,SPY,0.0
2024-12-31,Sample Portfolio,SPY,0.0
2025-01-31,Sample Portfolio,SPY,0.0
2025-02-28,Sample Portfolio,SPY,0.0
2025-03-31,Sample Portfolio,SPY,0.0
2025-04-30,Sample Portfolio,SPY,0.0
2025-05-31,Sample Portfolio,SPY,0.0
2025-06-30,Sample Portfolio,SPY,0.0
2025-07-31,Sample Portfolio,SPY,0.0
2025-08-31,Sample Portfolio,SPY,0.0
2025-09-30,Sample Portfolio,SPY,0.0
2025-10-31,Sample Portfolio,SPY,0.0
2025-11-30,Sample Portfolio,SPY,0.0
2025-12-31,Sample Portfolio,SPY,0.0
2026-01-31,Sample Portfolio,SPY,0.0
2026-02-28,Sample Portfolio,SPY,0.0
2026-03-31,Sample Portfolio,SPY,0.0
2026-04-30,Sample Portfolio,SPY,0.0
2026-05-31,Sample Portfolio,SPY,0.0
2026-06-30,Sample Portfolio,SPY,0.0
2026-07-31,Sample Portfolio,SPY,0.0
2026-08-31,Sample Portfolio,SPY,0.0
2020-01-31,Sample Portfolio,GLD,0.9080031302157022
2020-02-29,Sample Portfolio,GLD,2.3937333134602476
2020-03-31,Sample Portfolio,GLD,4.967514280889589
2020-04-30,Sample Portfolio,GLD,3.7623088801195705
2020-05-31,Sample Portfolio,GLD,3.2853798902473494
2020-06-30,Sample Portfolio,GLD,3.4964614577652853
2020-07-31,Sample Portfolio,GLD,4.580865326275625
2020-08-31,Sample Portfolio,GLD,2.902114130133237
2020-09-30,Sample Portfolio,GLD,2.80674472659024
2020-10-31,Sample Portfolio,GLD,3.2418082966072403
2020-11-30,Sample Portfolio,GLD,-0.41139345687254136
