metric,Sample Portfolio,Portfolio 2,Portfolio 3,benchmark
alpha,0.00781147047890823,0.06464769544434495,0.052296784812321744,-6.245004513516506e-17
beta,0.6682735146897051,0.8466479968908628,0.8945114245000518,1.0000000000000004
calmar_ratio,3.0556355300197118,3.916544714681047,3.164924368865753,2.7599347184701535
excess_kurtosis,-0.2754360048191362,0.0733784420483965,-0.05577758069019678,0.18863171594790984
historical_var_95,0.05480859730614747,0.07730279856825277,0.07925826070858014,0.07933030621267775
modigliani_modigliani,0.15831355910318848,0.1985775459726899,0.19647623342624468,0.1592106273530844
r_squared,0.8332250085654451,0.6751546439354983,0.7888665411462599,1.0
skewness,-0.4260611521981767,-0.29463084808896006,-0.4299977038814259,-0.341865462614162
treynor_ratio,0.1422827117533541,0.20706567235968193,0.18919552584390595,0.13077437735308434
