asset,Sample Portfolio_contribution_balance,Portfolio 2_contribution_balance,Portfolio 3_contribution_balance
contribution_SPY,8756.011460833506,0.0,0.0
contribution_GLD,3561.4434715698185,2050.139969227893,2141.3747409490907
contribution_TLT,-739.748462142124,0.0,0.0
contribution_QQQ,0.0,7066.841223986899,9592.444924254427
contribution_SLV,0.0,3189.871900503122,3339.896729797289
contribution_GDX,0.0,3627.0407082569045,0.0
contribution_AIA,0.0,4746.88046839392,0.0
contribution_XLF,0.0,1367.7707336319359,0.0
contribution_XLE,0.0,2807.770034699163,2832.1547787023806
contribution_EWY,0.0,0.0,4071.4584667385866
contribution_EWJ,0.0,0.0,1341.2267084427658
contribution_INDY,0.0,0.0,309.00634573715155
