asset,Sample Portfolio_risk_contribution_pct,Portfolio 2_risk_contribution_pct,Portfolio 3_risk_contribution_pct
SPY,74.09212601956895,0.0,0.0
GLD,12.961530012837224,5.603493559899509,4.400664345121463
TLT,12.946343967593817,0.0,0.0
QQQ,0.0,26.868005389981775,42.52562146558889
SLV,0.0,13.829637240727086,12.294762993507113
GDX,0.0,16.13849777409409,0.0
AIA,0.0,20.40748952505197,0.0
XLF,0.0,7.477109552613973,0.0
XLE,0.0,9.675766957631586,9.916528529007191
EWY,0.0,0.0,16.602437297950324
EWJ,0.0,0.0,7.151168095141378
INDY,0.0,0.0,7.108817273683631
