date,TO-BE Direct_annualized_return_pct,KAW Direct Proxy_annualized_return_pct,benchmark_annualized_return_pct
2025-05-31,22.82512907346115,9.496588075249846,18.066422416536774
2025-06-30,28.50211761207426,11.053959321859752,21.406857997989515
2025-07-31,28.66698643387211,10.441168797411638,19.811415544610522
2025-08-31,28.922224646733508,11.979611567993986,20.658109020968496
2025-09-30,34.55942371101326,15.249086212833983,24.00198531880875
2025-10-31,33.99487371337424,17.11056939327129,22.61092349743603
2025-11-30,34.49051889078807,16.568344743670572,24.417680425598732
2025-12-31,37.390226257662086,18.234895149121357,28.39158990142345
2026-01-31,40.91041114640088,18.295131820155675,27.12858126011699
2026-02-28,40.98761226758876,19.810943140567282,25.074236866150446
2026-03-31,36.864995688292154,16.088041514752007,24.16254327605456
2026-04-30,42.23551461860888,16.908512742516347,25.485764593211435
2026-05-31,47.591621715442756,19.413045255738194,28.63162463517479
2026-06-30,46.622584492131104,18.81932336242942,26.965970589420895
2026-07-31,39.33869892409212,15.755439041919384,23.483848703069143
2026-08-31,39.55945007065051,16.347097871033323,22.71477293883595
