portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months
TO-BE Direct,1,2026-07-31,2026-07-31,,-0.12273108781972897,2
TO-BE Direct,2,2025-02-28,2025-04-30,2025-06-30,-0.0630572923810131,5
TO-BE Direct,3,2022-11-30,2022-12-31,2023-03-31,-0.057126676877082505,5
TO-BE Direct,4,2022-09-30,2022-09-30,2022-10-31,-0.040861750778369954,2
TO-BE Direct,5,2026-03-31,2026-03-31,2026-04-30,-0.040646701920327155,2
TO-BE Direct,6,2023-09-30,2023-10-31,2023-11-30,-0.034657953033251476,3
TO-BE Direct,7,2024-07-31,2024-08-31,2024-10-31,-0.02750031452933832,4
KAW Direct Proxy,1,2026-06-30,2026-07-31,,-0.08398030062239359,3
KAW Direct Proxy,2,2022-08-31,2022-12-31,2023-04-30,-0.07866096650930954,9
KAW Direct Proxy,3,2023-05-31,2023-10-31,2023-12-31,-0.06182488766664207,8
KAW Direct Proxy,4,2026-03-31,2026-03-31,2026-05-31,-0.060065578310395384,3
KAW Direct Proxy,5,2025-04-30,2025-05-31,2025-06-30,-0.014265943715587426,3
KAW Direct Proxy,6,2024-08-31,2024-08-31,2024-09-30,-0.006388588189455868,2
KAW Direct Proxy,7,2024-01-31,2024-01-31,2024-02-29,-0.0028484925021270424,2
benchmark,1,2022-11-30,2022-12-31,2023-04-30,-0.11816842671376315,6
benchmark,2,2025-02-28,2025-04-30,2025-07-31,-0.08727139970499864,6
benchmark,3,2026-07-31,2026-07-31,,-0.08234183406494822,2
benchmark,4,2023-09-30,2023-10-31,2023-12-31,-0.05163039286872484,4
benchmark,5,2022-08-31,2022-09-30,2022-10-31,-0.0387233122516073,3
benchmark,6,2025-12-31,2026-03-31,2026-04-30,-0.015483721436609588,5
benchmark,7,2024-04-30,2024-04-30,2024-05-31,-0.014966151842814357,2
benchmark,8,2023-05-31,2023-05-31,2023-06-30,-0.008622364252217185,2
benchmark,9,2024-07-31,2024-08-31,2024-09-30,-0.004621112358154877,3
benchmark,10,2023-07-31,2023-07-31,2023-08-31,-0.002500989304618506,2
