date,year,month,series::TO-BE Direct::return,series::TO-BE Direct::balance,series::KAW Direct Proxy::return,series::KAW Direct Proxy::balance,series::benchmark::return,series::benchmark::balance,asset::SPMO::return,asset::426030::return,asset::277540::return,asset::132030::return,asset::144600::return,asset::XLE::return,asset::133690::return,asset::402970::return,asset::069500::return,asset::168580::return,asset::200250::return,asset::101280::return,asset::TLT::return,asset::385560::return
2026-08-31,2026,8,0.021276763191421362,31572.46255823056,0.012373206065836738,16069.733754812116,0.0007710809172516431,21945.13163161853,-0.00833209739039209,-0.016617470208811658,-0.015353598014888337,0.119773519163763,0.1768707482993197,0.022812654298973944,-0.002001668056713979,0.0012999675008125156,-0.0150707590516449,-0.030942334739803123,-0.051401869158878455,-0.00925174484661584,-0.016875158199198825,-0.002083657890637136
2026-07-31,2026,7,-0.12273108781972893,30914.697852880476,-0.07200350655853001,15873.329774560496,-0.08234183406494822,21928.223197161962,-0.18323113705954075,-0.2419194430631526,-0.13344980513371862,0.0163789287295264,-0.004687499999999956,0.02857319314502549,-0.12163317135112695,-0.03439402497960209,-0.21316548687283532,-0.13932937900980513,-0.0711037618850765,-0.04246060116253769,-0.12370087499785298,-0.02705570291777193
2026-06-30,2026,6,0.009582852614610145,35239.70520743562,-0.01290607685320841,17104.945855661954,0.02499901299595053,23895.851430492206,0.11267023956477784,0.04921739130434788,0.02183466080747043,-0.11533189739573135,-0.22643029814665594,-0.01580208196051902,0.015377825384073729,0.014001145548272032,0.02792395052919483,0.04835025380710656,0.04650659744754493,0.01848861873555574,0.04773384777830447,-0.07439233979867421
2026-05-31,2026,5,0.12287170386985889,34905.213689170814,0.048463307155604644,17328.58996956692,0.06782233020786066,23313.048234697777,0.14181960136009852,0.23655913978494625,0.20165016501650168,-0.01542317331791021,0.0402347024308467,-0.04270494809317171,0.13458952473654295,0.056336134453781606,0.3494343256037873,0.04343220338983045,0.007189542483660105,0.0944527216659159,0.019847630464190802,-0.05001332800213243
2026-04-30,2026,4,0.15031022298144964,31085.665057614046,0.04224843522161615,16527.60745302377,0.08350047519414172,21832.328820244555,0.17010658288936975,0.3193360760391546,0.180826188620421,0.00019282684149635188,0.0025210084033613356,-0.04527212765084243,0.13552175107493558,-0.010378550994611158,0.3303622656614851,0.057703081232493014,0.017287234042553168,0.02664342629482075,-0.027736085013977507,-0.001862445124384715
2026-03-31,2026,3,-0.04064670192032716,27023.723197942356,-0.060065578310395364,15857.646693908884,-0.0022507345476927565,20149.81010168236,-0.012296211533269319,-0.060008001066808925,-0.09600140919499733,-0.12664196699225327,-0.20772303595206387,0.1573173262137344,-0.013170670197339418,0.052222611130556595,-0.19857776827246965,-0.0006997900629811538,-0.0914216673378977,-0.06551873150949039,0.005179309792756381,-0.08284529038555388
2026-02-28,2026,2,0.010583750146751008,28168.68743979455,0.039185328726668155,16871.013900526745,-0.006171952345696119,20195.264280698713,-0.0008536499660896091,-0.011207805907172963,0.0583519761372111,0.0003369272237196963,-0.18810810810810807,0.09812594542257735,-0.027725843330288824,0.0732531930879039,0.2175164045411937,0.009038271430588996,0.01284927595349794,0.07489191410297646,0.048944593151420746,0.02811446491571923
2026-01-31,2026,1,0.12256580085900674,27873.679381549584,0.051654815205123494,16234.846118544698,0.008280616634021465,20320.68256512267,-0.008118976295893199,0.11072056239015815,0.14371002132196153,0.17614424410540908,0.4676715589051963,0.13074473094515016,0.0048105351335370194,0.05159200442442913,0.270814030443415,0.01840931971810722,-0.05054221533694814,0.05866999546073526,-0.012421375139157309,-0.06145604921193215
2025-12-31,2025,12,0.012169232489590788,24830.33008864172,0.006187773363427149,15437.428597118263,-0.015288936878936399,20153.796700922325,-0.013983075395121003,-0.032285495620624216,0.021030173727522028,0.037666022451581016,0.3640298668975219,-0.01569617677959534,-0.011976630963972723,-0.0038564457736502966,0.09427335107634938,0.02736487484854755,-0.04014869888475836,0.0,-0.03668901858062379,-0.004760091393754773
2025-11-30,2025,11,0.0041606107009450706,24531.796948191743,0.012656138538239742,15342.492729279451,0.02825082622320596,20466.71095279911,0.012926168838747865,-0.05337018353547274,-0.015010507355148639,0.04333090222660774,0.10697172975563007,0.05326524183557968,0.0031929766723444164,0.06299673722078136,-0.04290491950995512,0.011236290828676498,0.042433636892075244,0.013650306748466345,0.029044399582604408,-0.058651592444505685
