kind,label,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_AIA,weight_GLD,weight_XLE,weight_144600,weight_SCHD
provided,Provided Portfolio,0.19210170150726766,0.13398112098068357,1.1472278541632823,0.2,0.2,0.15,0.15,0.15,0.05,0.1
optimized,Optimized Portfolio,0.19287342148470732,0.11499993545665012,1.3432928747749777,0.1580513704898061,0.27048365959505133,0.0,0.4761632456889856,0.042722427784853745,0.0,0.05257855752180391
benchmark,Benchmark,0.17690014057458026,0.15064722744376202,0.9194016732905268,,,,,,,
