portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months,decline_months,recovery_months,underwater_months,annualized_recovery_rate
optimized,1,2026-06-30,2026-07-31,,-0.11221145025639034,3,2,,3,
optimized,2,2020-09-30,2020-10-31,2021-05-31,-0.10715012363985044,9,2,7.0,9,0.21445048403662748
optimized,3,2020-02-29,2020-03-31,2020-04-30,-0.07808904644698667,3,2,1.0,3,1.6529697608707759
optimized,4,2022-11-30,2022-12-31,2023-03-31,-0.062140633548923074,5,2,3.0,5,0.29255526084487693
optimized,5,2022-04-30,2022-06-30,2022-10-31,-0.06026652903007146,7,3,4.0,7,0.2049968542217
optimized,6,2018-09-30,2018-12-31,2019-02-28,-0.053897275281656665,6,4,2.0,6,0.3943449902573015
optimized,7,2018-02-28,2018-03-31,2018-06-30,-0.04469694321366169,5,2,3.0,5,0.2007022663447493
optimized,8,2019-09-30,2019-10-31,2020-01-31,-0.028454569760552606,5,2,3.0,5,0.12239971186631826
optimized,9,2023-05-31,2023-05-31,2023-08-31,-0.028246552245623002,4,1,3.0,4,0.12143895853565145
optimized,10,2026-03-31,2026-03-31,2026-04-30,-0.027254865036499765,2,1,1.0,2,0.3931927023267905
optimized,11,2022-01-31,2022-01-31,2022-03-31,-0.026996538647906743,3,1,2.0,3,0.17845685945077383
optimized,12,2017-11-30,2017-11-30,2018-01-31,-0.02381030413893126,3,1,2.0,3,0.15556581327842856
optimized,13,2021-09-30,2021-09-30,2021-10-31,-0.014337255258142667,2,1,1.0,2,0.18921368658709636
optimized,14,2025-04-30,2025-04-30,2025-06-30,-0.009484437845977634,3,1,2.0,3,0.0588444895467759
optimized,15,2023-09-30,2023-09-30,2023-10-31,-0.008522294737115632,2,1,1.0,2,0.1081653451928053
optimized,16,2024-08-31,2024-08-31,2024-09-30,-0.0039004901949852844,2,1,1.0,2,0.048014480783007185
optimized,17,2020-06-30,2020-06-30,2020-07-31,-0.0037772139508631675,2,1,1.0,2,0.046459317845420456
optimized,18,2025-12-31,2025-12-31,2026-01-31,-0.0028782764860515453,2,1,1.0,2,0.035194281061385224
optimized,19,2018-07-31,2018-07-31,2018-08-31,-0.0011285431033668525,2,1,1.0,2,0.013642384192051438
provided,1,2020-02-29,2020-03-31,2020-05-31,-0.15671045034329012,4,2,2.0,4,1.7806074974085497
provided,2,2018-10-31,2018-12-31,2019-03-31,-0.1140042842691944,6,3,3.0,6,0.6228318125112653
provided,3,2020-09-30,2020-10-31,2021-01-31,-0.11358567268690378,5,2,3.0,5,0.6197684364089364
provided,4,2026-07-31,2026-07-31,,-0.09594547242972495,2,1,,2,
provided,5,2022-04-30,2022-06-30,2022-10-31,-0.06978679743772487,7,3,4.0,7,0.24237442455555058
provided,6,2018-02-28,2018-03-31,2018-06-30,-0.06150628639903144,5,2,3.0,5,0.2890641439690764
