date,SPY Candidate_balance,benchmark_balance
2014-07-01,10000.0,10000.0
2014-07-31,10074.354280703712,10241.19566795487
2014-08-31,10287.414049907395,10346.456259755842
2014-09-30,10542.62584804698,10463.067011471923
2014-10-31,10789.889429674455,10576.488717358867
2014-11-30,11562.87967300766,11265.033666501029
2014-12-31,11645.9623110153,11555.514094921997
2015-01-31,11188.758516587546,12084.77811400275
2015-02-28,11837.734521245158,11966.148667589296
2015-03-31,11719.88402026814,12127.298302665202
2015-04-30,11492.622227254811,11890.13770385247
2015-05-31,11986.20628185317,12214.634921392786
2015-06-30,11854.760259440858,11891.467309977266
2015-07-31,12699.736160137036,12335.090462264703
2015-08-31,12029.378894740952,11949.71074178641
2015-09-30,11751.124268564017,11987.921942575924
2015-10-31,12276.981498525924,12091.280544197307
2015-11-30,12483.680781650188,11994.707588003106
2015-12-31,12548.775019260494,12110.9044785461
2016-01-31,12169.941385470087,12305.322119572402
2016-02-29,12517.942496706955,12883.693432754888
2016-03-31,12279.985165948909,12427.510048535427
2016-04-30,12254.89571933504,12408.394589390342
2016-05-31,13054.00368192476,12905.182962333818
2016-06-30,12696.939888567389,13036.112698682691
2016-07-31,12841.082448506984,13159.593248693249
2016-08-31,12754.490299044008,13003.391329919003
2016-09-30,12608.50059557703,12867.872614237542
2016-10-31,12896.920420961438,13046.201811672174
2016-11-30,13618.774495559926,12717.794904156866
2016-12-31,14453.095517116311,13090.749622830426
2017-01-31,14159.848162322563,13061.834173921343
2017-02-28,14272.283559165273,13001.582214433505
2017-03-31,14076.895771366939,12932.950136468384
2017-04-30,14381.060747419411,13277.652915743323
2017-05-31,14443.077283087363,13460.252588745212
2017-06-30,14887.416445444645,13784.373885713803
2017-07-31,14830.06374003739,13719.982100269312
2017-08-31,14937.280698485836,14081.72873051285
2017-09-30,15542.064766096682,14182.1220453254
2017-10-31,15596.084705675852,14254.470547342507
2017-11-30,15460.609861614148,13886.798320665905
2017-12-31,15604.00026052764,14011.150485198605
2018-01-31,16405.832861092946,14396.177291062502
2018-02-28,15910.269957008333,13953.090858141157
2018-03-31,15224.86088377678,13748.15995056676
