year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ytd,portfolio
2016,,,,,,,,-0.006167830112780331,0.012014538871748654,-0.022710885020167767,-0.025070746145514494,0.013178555820420842,-0.029083335434673008,optimized
2017,0.03663821928852407,0.041474728067179716,-0.0035511189688027874,0.025193372095397487,0.019926187275584956,-0.007714533739731726,0.03136607011121028,0.02255901345484744,-0.0036446889264000084,0.04766465606276008,0.01943180812608447,0.01358742777253762,0.26969464725064385,optimized
2018,0.07236504736553626,-0.01570592127043231,-0.029499549563772105,0.0063011349273627525,0.03338051787838438,-0.007595729199503766,0.018148621238139408,0.032193284572731976,0.0034637562360579884,-0.06883607050256764,0.0063406638178760705,-0.05594885906861591,-0.013764329934868202,optimized
2019,0.08152992016591007,0.02580496426762169,0.020987456253885303,0.020594011145133782,-0.03514031108924972,0.07271994236529454,0.010912446168023096,0.013218269955770913,-0.005468267287629508,0.020158252764470447,0.012838213347925186,0.03370320435630544,0.3018650333681101,optimized
2020,0.03440046093442868,-0.06183878101775053,-0.07635286693421703,0.12774476848790134,0.05965799481493777,0.04003029105731225,0.09027224895773386,0.07391506557981992,-0.04394464773693137,-0.03227564659827305,0.060992629591407284,0.05166695349630794,0.34655777512903807,optimized
2021,-0.007556471229779083,-0.021705323642627287,0.009129761977472823,0.05442418883051739,0.016259966349306168,0.03250437239705214,0.025219919952380886,0.03387345259593828,-0.04821808950774505,0.0659554746382437,-0.009947108377115238,0.025574294274678482,0.1836438355991874,optimized
2022,-0.0584550597447592,-0.0047314370944939645,0.035577031539203025,-0.08849698333343398,-0.0063989934048324995,-0.07468297223496267,0.07153466309784967,-0.03907446945916626,-0.07647144223350874,0.07246674448143162,0.05692496791403264,-0.03575148390456692,-0.15474510564679778,optimized
2023,0.05070671632597945,-0.04020784169852305,0.06272592985102982,0.01718058388085749,-0.005373442629211739,0.042350069312496214,0.02852551407851716,0.0012560794986325426,-0.03611454393966775,0.004418678571726306,0.08735364140295918,0.051092664989840886,0.2878460705624002,optimized
2024,0.026260071303408145,0.0705665166748273,0.05019485173798832,-0.03069286497520534,0.05812288791522897,0.05354958832695942,0.0025758127823903723,0.02539970972270046,0.029771436253624103,0.010459579959414829,0.03896635292198375,-0.013005170077489947,0.3676659481380917,optimized
2025,0.050920685530360506,-0.004336256657559749,-0.028298938745321932,0.02496003427340235,0.08145087145869981,0.05429680201453421,0.019033656143835204,0.021176437152723347,0.07106390443172712,0.027911679613586225,0.00485792099445061,0.0017803073332227277,0.3703439092262506,optimized
