year,optimized,provided,benchmark
2016,-0.02908325841505588,-0.026388333817629617,0.04082249750754818
2017,0.269694377174867,0.27110034097422875,0.2170538696824964
2018,-0.013764267752726767,-0.06605726228695441,-0.04568971671023525
2019,0.30186527649843775,0.33915907853714655,0.3122382543506026
2020,0.346557339197477,0.35200350641850053,0.18331648727881023
2021,0.1836438764589836,0.18307111528258324,0.28728758171370994
2022,-0.15474497275733134,-0.1480060132189518,-0.18175368123865754
2023,0.28784576277184826,0.27226307830113217,0.26175805052516266
2024,0.36766627388071416,0.26127845764028534,0.24886446555007558
2025,0.3703439377579354,0.4410508749119355,0.17719067981214542
2026,0.13052299126980227,0.18507710152533607,0.09342964967795542
