point,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_GDX,weight_GLD,weight_SLV,weight_AIA,weight_XLE,weight_PTF,weight_QLD
1,0.16217712247607527,0.12746067740700778,1.0872147025672114,0.057160267684141876,0.43269510046178683,0.0,0.3,0.0,0.10277786997310394,0.10736676188096737,0.0,0.0
2,0.1631824158593438,0.12749598470204143,1.09479852393429,0.07547534983117987,0.43156081723933404,0.0,0.3,0.0,0.08980927368466998,0.10315455924481606,0.0,0.0
3,0.1641877092426123,0.12760184797021087,1.1017685988014296,0.09379043197821622,0.4304265340168821,0.0,0.3,0.0,0.07684067739623675,0.09894235660866496,0.0,0.0
4,0.1651930026258808,0.12777809184622455,1.108116427315896,0.11210551412525359,0.4292922507944297,0.0,0.3,0.0,0.06387208110780303,0.09473015397251372,0.0,0.0
5,0.16619829600914932,0.12802442566358704,1.11383663914149,0.13042059627229022,0.42815796757197794,0.0,0.3,0.0,0.05090348481936943,0.09051795133636246,0.0,0.0
6,0.16720358939241783,0.1283404458356765,1.118926994973072,0.1487356784193278,0.4270236843495255,0.0,0.3,0.0,0.037934888530935545,0.08630574870021115,0.0,0.0
7,0.16820888277568632,0.12872563912557922,1.1233883456163078,0.16705076056636486,0.4258894011270732,0.0,0.3,0.0,0.02496629224250198,0.08209354606405996,0.0,0.0
8,0.1692141761589549,0.12917938674361806,1.1272245505233347,0.18536584271340217,0.42475511790462106,0.0,0.3,0.0,0.01199769595406819,0.0778813434279086,0.0,0.0
9,0.17021946954222336,0.12970128566600786,1.1304396004198547,0.20394813787336993,0.42319926394858987,0.0,0.3,0.0,0.0,0.07285259817804023,0.0,0.0
10,0.17122476292549188,0.13035449518645606,1.132486936598027,0.22583246144000224,0.41643393863325573,0.0,0.3,0.0,0.0,0.05773359992674204,0.0,0.0
11,0.1722300563087604,0.1311848407755203,1.1329819469239728,0.2477167850066335,0.40966861331792226,0.0,0.3,0.0,0.0,0.04261460167544425,0.0,0.0
12,0.1732353496920289,0.13218898443275767,1.131980477300254,0.269601108573266,0.402903288002588,0.0,0.3,0.0,0.0,0.027495603424146024,0.0,0.0
13,0.17424064307529744,0.1333389064891356,1.1297576007012744,0.2742336666099303,0.40163255470069625,0.0,0.3,0.0,0.0,0.020505201499605302,0.0,0.0036285771897681175
