metric,optimized,provided,benchmark
start_balance,1.0,1.0,1.0
end_balance,5.078805042804685,5.780388679728193,4.010313683393648
cagr,0.1764572602105421,0.19177893306459204,0.1489941946781539
annualized_return,0.17205219269352293,0.19399943063066122,0.1513778811433828
annualized_volatility,0.1310251689248564,0.18726707615948435,0.15332013202226452
best_year,0.35160103660268716,0.4410508990331794,0.31223852302976596
worst_year,-0.10397918588143429,-0.14800591923305584,-0.18175355707528462
max_drawdown,-0.18303217988895681,-0.2462228621242586,-0.23927171999585062
sharpe_ex_post,1.1333142625344312,0.9101435987899312,0.8336699131254435
sortino,2.00527709941834,1.54947502089484,1.3130078277993567
expected_return,0.17205219269352298,0.19399943063066125,0.1513778811433828
