point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_GDX_pct,weight_GLD_pct,weight_SLV_pct,weight_AIA_pct,weight_XLE_pct,weight_PTF_pct,weight_QLD_pct
1,1.0875322368991025,16.217714555359702,12.746072332424799,5.716116063102149,43.26943707790363,0.0,30.0,0.0,10.277773890816325,10.736672968177894,0.0,0.0
2,1.0978740676705068,16.356969241207,12.752846299498326,8.253146851634506,43.11231522441885,0.0,30.0,0.0,8.48134446269713,10.153193461249511,0.0,0.0
3,1.107031361869298,16.496223927054302,12.773146646159583,10.79017764016679,42.95519337093406,0.0,30.0,0.0,6.684915034578006,9.569713954321145,0.0,0.0
4,1.1149863372118431,16.6354786129016,12.806909050212461,13.32720842869912,42.79807151744934,0.0,30.0,0.0,4.888485606458792,8.98623444739275,0.0,0.0
5,1.1217327310907654,16.7747332987489,12.85402743372583,15.864239217231473,42.64094966396454,0.0,30.0,0.0,3.0920561783396097,8.402754940464376,0.0,0.0
6,1.1272756013441687,16.913987984596197,12.91435560854606,18.401270005763724,42.48382781047983,0.0,30.0,0.0,1.2956267502204462,7.8192754335359975,0.0,0.0
7,1.1315575866516592,17.053242670443503,12.988550334352485,21.076135568666217,42.109251524135956,0.0,30.0,0.0,0.0,6.814612907197826,0.0,0.0
8,1.133301882265487,17.1924973562908,13.091434496369429,24.10759351548724,41.17209881278475,0.0,30.0,0.0,0.0,4.720307671728016,0.0,0.0
9,1.1321404949320437,17.331752042138103,13.22786536580605,27.1390514623083,40.23494610143357,0.0,30.0,0.0,0.0,2.6260024362581325,0.0,0.0
10,1.1289607507435269,17.4710067279854,13.388469632828876,26.952271523355726,40.32278907577572,0.0,30.0,0.0,0.0,2.048046320968538,0.0,0.6768930799000187
11,1.125732271362702,17.6102614138327,13.550567752106202,25.554481919175405,40.796333706194424,0.0,30.0,0.0,0.0,2.0406861359908515,0.0,1.6084982386393154
12,1.122556673405582,17.749516099679997,13.712952285054273,24.156692314995144,41.26987833661312,0.0,30.0,0.0,0.0,2.033325951013137,0.0,2.5401033973786022
13,1.1194331081738753,17.888770785527303,13.875613176088656,22.758902710814624,41.74342296703201,0.0,30.0,0.0,0.0,2.025965766035438,0.0,3.471708556117921
14,1.1163607153688901,18.028025471374598,14.038540818946604,21.361113106634438,42.21696759745064,0.0,30.0,0.0,0.0,2.0186055810577255,0.0,4.403313714857192
15,1.113338626636749,18.167280157221903,14.2017260327937,19.963323502454074,42.690512227869384,0.0,30.0,0.0,0.0,2.0112453960800334,0.0,5.334918873596512
16,1.110365968698191,18.3065348430692,14.365160039774896,18.56553389827378,43.16405685828812,0.0,30.0,0.0,0.0,2.003885211102329,0.0,6.26652403233578
17,1.107441866106187,18.445789528916503,14.528834443914487,17.167744294093502,43.637601488706785,0.0,30.0,0.0,0.0,1.9965250261246248,0.0,7.198129191075092
18,1.1045654436701686,18.585044214763798,14.692741211275774,15.76995468991319,44.111146119125536,0.0,30.0,0.0,0.0,1.989164841146912,0.0,8.12973434981436
19,1.101735828581744,18.724298900611096,14.856872651297854,14.37216508573275,44.584690749544386,0.0,30.0,0.0,0.0,1.9818046561692233,0.0,9.061339508553646
20,1.0989521522731782,18.863553586458398,15.021221399232425,12.974375481552514,45.05823537996303,0.0,30.0,0.0,0.0,1.9744444711914992,0.0,9.992944667292955
21,1.096213552036766,19.0028082723057,15.185780399609014,11.57658587737211,45.531780010381816,0.0,30.0,0.0,0.0,1.9670842862138063,0.0,10.924549826032264
22,1.093519172430326,19.142062958153,15.35054289066206,10.178796273191788,46.00532464080055,0.0,30.0,0.0,0.0,1.9597241012361017,0.0,11.85615498477156
23,1.0908681664914879,19.281317644000303,15.5155023896578,8.781006669011413,46.47886927121933,0.0,30.0,0.0,0.0,1.9523639162584012,0.0,12.787760143510857
24,1.0882596967811309,19.420572329847598,15.680652679063249,7.383217064831142,46.952413901638025,0.0,30.0,0.0,0.0,1.9450037312806985,0.0,13.719365302250141
25,1.0856929362742533,19.559827015694903,15.845987793503602,5.985427460650787,47.4259585320568,0.0,30.0,0.0,0.0,1.9376435463029917,0.0,14.650970460989432
26,1.0831670691146857,19.699081701542205,16.011502007458013,4.587637856470424,47.899503162475554,0.0,30.0,0.0,0.0,1.930283361325288,0.0,15.582575619728733
27,1.0806812912483992,19.838336387389496,16.17718982364718,3.1898482522901195,48.37304779289428,0.0,30.0,0.0,0.0,1.9229231763475871,0.0,16.51418077846801
28,1.0782348109486415,19.977591073236802,16.343045962069343,1.792058648109832,48.84659242331296,0.0,30.0,0.0,0.0,1.9155629913698835,0.0,17.44578593720732
29,1.0758268492447915,20.116845759084104,16.50906534964422,0.3942690439295046,49.32013705373172,0.0,30.0,0.0,0.0,1.908202806392175,0.0,18.37739109594661
30,1.0734393283086023,20.256100444931395,16.675512041408354,0.0,48.97127450648861,0.0,30.0,0.0,0.0,1.8067968069845846,0.0,19.22192868652679
31,1.0710264752929455,20.395355130778693,16.843099164140256,0.0,48.29929980340047,0.0,30.0,0.0,0.0,1.668441536371669,0.0,20.032258660227864
32,1.0685890852160598,20.53460981662599,17.01183370495537,0.0,47.6273251003123,0.0,30.0,0.0,0.0,1.5300862657587582,0.0,20.842588633928948
33,1.066130466909188,20.673864502473297,17.18168185886165,0.0,46.95535039722412,0.0,30.0,0.0,0.0,1.3917309951458279,0.0,21.65291860763005
34,1.0636537214748214,20.8131191883206,17.352610925601418,0.0,46.283375694135934,0.0,30.0,0.0,0.0,1.253375724532917,0.0,22.463248581331147
35,1.0611617528176909,20.952373874167897,17.524589276600878,0.0,45.61140099104776,0.0,30.0,0.0,0.0,1.1150204539199966,0.0,23.27357855503224
36,1.0586572778259609,21.0916285600152,17.697586322261387,0.0,44.93942628795961,0.0,30.0,0.0,0.0,0.9766651833070729,0.0,24.083908528733325
37,1.0561428361901204,21.230883245862497,17.871572479676175,0.0,44.26745158487145,0.0,30.0,0.0,0.0,0.8383099126941432,0.0,24.8942385024344
38,1.0536207998514373,21.3701379317098,18.046519140843493,0.0,43.59547688178328,0.0,30.0,0.0,0.0,0.6999546420812272,0.0,25.7045684761355
39,1.051093382075585,21.509392617557097,18.22239864143656,0.0,42.92350217869508,0.0,30.0,0.0,0.0,0.5615993714683218,0.0,26.514898449836593
40,1.0485626461502853,21.6486473034044,18.39918423018025,0.0,42.251527475606906,0.0,30.0,0.0,0.0,0.4232441008553934,0.0,27.325228423537702
41,1.0460305137085293,21.787901989251697,18.57685003887592,0.0,41.57955277251877,0.0,30.0,0.0,0.0,0.284888830242462,0.0,28.135558397238764
42,1.0434987726812446,21.927156675098995,18.755371053107478,0.0,40.907578069430585,0.0,30.0,0.0,0.0,0.14653355962956027,0.0,28.94588837093986
