date,optimized_annualized_return_pct_pct,provided_annualized_return_pct_pct,benchmark_annualized_return_pct_pct
2019-07-31,1180.36028559511,1232.8772772279951,1323.7926566385493
2019-08-31,1255.6630569594574,1274.0262424585967,1255.7450129685722
2019-09-30,1195.7107097821386,1107.4048962036986,1328.0598666996223
2019-10-31,1337.417092555293,1371.3398483298424,1477.6381196929322
2019-11-30,1459.2815895407462,1473.8644278449087,1475.273916571085
2019-12-31,1533.7404516955467,1671.0719554416808,1508.1110642272733
2020-01-31,1523.267688689163,1429.0067756826265,1438.7344017744263
2020-02-29,1166.1913391348744,1036.435312390942,986.4994956941908
2020-03-31,920.0311618780187,412.66786907076636,504.349281590144
2020-04-30,1254.184886056411,1008.5147588353971,895.4481150414883
2020-05-31,1391.2489607382006,1192.5519570379172,1014.236119655747
2020-06-30,1540.1350645458444,1461.0439095181448,1055.522489080205
2020-07-31,1731.6388702522147,1671.0354513598968,1192.262294563573
2020-08-31,1885.301065058689,1896.7161511049155,1435.711589931403
2020-09-30,1723.3366503388424,1570.457252081674,1216.3264672532325
2020-10-31,1458.1991384572902,1349.9205725493723,1036.3065204442944
2020-11-30,1599.2281237131056,1720.9525435608698,1308.7141543795888
2020-12-31,1724.0573907676592,1913.6109782270005,1400.7747040504448
2021-01-31,1463.636250058109,1709.31035473606,1156.1510267822196
2021-02-28,1469.453874565525,2012.253297535289,1398.469215972904
2021-03-31,1594.9409902192556,2050.7014566323624,1676.0885086263568
2021-04-30,1742.3757073875024,2156.3832411650274,1858.0955791757403
2021-05-31,1710.3472490161287,2085.0918754226377,1789.2269325814514
2021-06-30,1839.0296321657786,2223.3930259095323,1854.030974784213
2021-07-31,1856.992497917154,2140.9668265472637,1805.6974727933994
2021-08-31,1870.851736448389,2116.970571381014,1797.4524967256266
2021-09-30,1698.028654483068,1929.4606620341724,1588.3330750739176
2021-10-31,2170.6528919082934,2673.354899282434,2139.589739885537
2021-11-30,2099.229358899517,2602.9344825705557,2033.0442728978949
2021-12-31,2400.109005753981,2890.6141055876924,2596.8826307496597
2022-01-31,1930.6722323072931,2326.9667197077592,2057.833144896679
2022-02-28,1850.8400898086475,2254.05334009366,1811.7345098042215
2022-03-31,1915.4371407005665,2305.0440220334244,1886.6295854722214
2022-04-30,1549.1235209142396,1759.1526265390555,1375.3281847580577
2022-05-31,1666.9399334664959,2085.161160259956,1636.6963979098448
2022-06-30,1154.731110419549,1305.4708158478245,1056.8819725730962
2022-07-31,1340.2936365475605,1528.0453725385935,1329.551820504311
2022-08-31,1165.9355605280286,1347.821966227778,1236.383203406135
2022-09-30,927.3141124521246,1044.9080445338232,809.2191728621035
2022-10-31,1121.6170541658532,1137.9701421678878,1013.9039137267724
2022-11-30,1279.091844012701,1466.5643596510038,1082.1931542019736
2022-12-31,1060.2051501030708,1086.8561089626216,761.8482503821489
2023-01-31,1111.3830710312577,1423.9028210613758,984.3502326403408
2023-02-28,1184.7819761913536,1505.735953131482,1195.0900202032599
2023-03-31,1658.1483959962775,2492.7257382023727,1846.9723842135168
2023-04-30,1296.330063144353,1796.7548355024078,1444.4750688839324
2023-05-31,1060.119356848488,1533.8056314141247,1285.5969040559455
2023-06-30,1070.9758489591215,1502.2059187418101,1456.9504786344091
2023-07-31,888.2770263449569,1346.9183819174145,1361.8172821301555
2023-08-31,689.1199114661939,969.9622889067804,1048.6363339735894
2023-09-30,729.374623707153,1055.6422541409581,1010.2768419789098
2023-10-31,855.7184288574394,1046.1679324988938,1022.4012371401759
2023-11-30,918.9001199089653,991.5948412628994,964.3288925172877
2023-12-31,907.8404901487435,864.458889057591,994.5780917707881
2024-01-31,1015.5076456692559,750.2629580174624,1090.4399644354435
2024-02-29,1298.136417958977,820.2870307658205,1177.4509084438423
2024-03-31,1453.0555913552569,1069.0550326565408,1132.012460315699
2024-04-30,1184.5790442993166,852.521777742754,793.2460958168086
2024-05-31,1294.731070590711,1014.9642385002778,948.323822784156
2024-06-30,1368.9218121160152,1050.4495982471274,994.0091683879881
2024-07-31,1317.496611916007,1093.657958421923,949.8184101263307
2024-08-31,1301.098898122084,1100.2058528713922,927.1075018208762
2024-09-30,1554.79698400514,1385.1945402117206,1179.5307387113694
2024-10-31,1382.8432815966796,1087.2682275359668,897.0579503254704
2024-11-30,1556.142693051854,1278.1460635470764,1139.413010068142
2024-12-31,1406.2716250427209,1098.769107925728,884.0829489082115
2025-01-31,1762.6932831458355,1398.512412397821,1180.7818182460594
