year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ytd,portfolio
2016,,,,,,,,-0.006448899226683123,0.01117370041935212,-0.021315481939875047,-0.022739822061067717,0.011475623147709411,-0.028093883200084213,optimized
2017,0.03108807057708639,0.03564828068942234,-0.004732700024702332,0.021226063695671045,0.0151500181862213,-0.005868216669227232,0.02758710067142518,0.01954383647413425,-0.0012393728459102688,0.04057359671171059,0.017408724478209466,0.014331343502986095,0.23077290804553918,optimized
2018,0.06265196907339321,-0.016346435789701942,-0.02351643161662293,0.008480775889322063,0.027843952234989644,-0.007843605740991175,0.015324007676957721,0.02442305163231396,0.004054471760720808,-0.060023076023707475,0.006179898030728668,-0.04781704218492834,-0.012748935841235709,optimized
2019,0.07332784215401185,0.02266549705373667,0.017312138512564957,0.015658409823195468,-0.0299905038156643,0.06660226742154665,0.008535761807506525,0.013761957831748151,-0.0048981517951402955,0.016319225487409827,0.009113447046495964,0.031320789374900695,0.2627143476047813,optimized
2020,0.02828191094305645,-0.05767531155125226,-0.0691146462244812,0.11787292043139071,0.05269391067245453,0.03362386507191196,0.07959780681301419,0.06013319428393136,-0.04151651115576154,-0.028443317757948457,0.05544027231512718,0.04743336766904322,0.29271059952144185,optimized
2021,-0.006599667022840315,-0.014847784285563213,0.008886496738057664,0.047441794115066514,0.019456205569884807,0.025224769747399657,0.019952688110263815,0.028019487397630372,-0.03916329856260153,0.058573015063167144,-0.011430425122280676,0.024999652765965545,0.1680737036926636,optimized
2022,-0.044016054646091915,0.002273636103717505,0.03403846923457266,-0.07516404883220328,-3.141024145676685e-07,-0.06780044516104672,0.0597094833882601,-0.032282580381100656,-0.06734220971641637,0.07150371293034667,0.05258828258202779,-0.027564187495220077,-0.10397955784317825,optimized
2023,0.04262238910175748,-0.03887758847690755,0.05414987708239178,0.016987893630534177,-0.011971439124221599,0.036670803113764236,0.02702667325531709,0.00301828162498258,-0.03064715597689611,0.006284039777101012,0.07397645523511842,0.044253691669080664,0.24001827992465818,optimized
2024,0.023108258197329305,0.06294337665123396,0.05095949162622539,-0.02450574005094454,0.04987445554401244,0.045560682719890645,0.006174478280010769,0.02355753065102479,0.02700954889805799,0.012013103317425024,0.0344121807631243,-0.014364788350859005,0.33562652868819987,optimized
2025,0.048430944265367155,-0.0003767726940782563,-0.017781412750844716,0.02246163016929463,0.06962682941898019,0.04762768582900138,0.017114330049525155,0.021745661230957603,0.06506953270801505,0.023891437040654637,0.008155048240742395,0.003012013054904862,0.3516009966980933,optimized
2026,0.04813660353750788,0.023392550633173616,-0.06452306157816921,0.11190054292449987,0.07018094423227217,-0.007116604610406915,-0.05144843361129674,,,,,,0.12454172501596017,optimized
2016,,,,,,,,-0.014191369479807588,0.029243922620919918,-0.034379871112665196,-0.008985568057557508,0.0027404179826089727,-0.02638840524160546,provided
2017,0.05726300572542252,0.0254353298035604,0.01067596183268022,0.0057150093045417304,0.02633053276812105,-0.015313519413075852,0.04169649510138111,0.015120630202457854,0.007472688884320455,0.03733347743604877,0.013094685990794129,0.01942635293214224,0.2711003294619445,provided
2018,0.07327031906938195,-0.04686791548223434,-0.013351327127710234,0.013998718037456592,0.03862422359198295,-0.0065528056138688335,0.010141408839066314,0.015170935089481245,0.0003048734105407123,-0.09389514396991716,0.004979791362474872,-0.05318449447007642,-0.06605722242056766,provided
2019,0.10197586789736704,0.020167849611152148,0.026627736170850638,0.025788622752348847,-0.07028785242141966,0.09125881430392059,0.020930840502457023,-0.0033177225004101993,-0.01571932830771734,0.03610424369512709,0.018061851720200153,0.055338147863667024,0.339158949070655,provided
2020,-0.007166810069769044,-0.07664388522841516,-0.1511878667519525,0.1884341534635499,0.07866951728015334,0.05726310725737235,0.10001033458747935,0.07515432523454985,-0.073162553372202,-0.020858792923036794,0.115733032202403,0.07052649431954273,0.35200371993847157,provided
2021,0.018996546604298996,0.029041076335618317,-0.0038471022078588215,0.040910902769031116,0.020458042417616243,0.027945929380023583,-0.010156114959574268,0.009163330209261862,-0.04541936068784665,0.08640284530452982,-0.01167992916377024,0.013143785821569342,0.18307094615849695,provided
2022,-0.03634860419460986,0.002171994380724218,0.03949693176015169,-0.10476641319633778,0.009201356042431306,-0.1066196513687459,0.08242393585037651,-0.049335535666271406,-0.09245590918541004,0.06251553787992802,0.11085132575996381,-0.0460689768721045,-0.14800587865251646,provided
2023,0.08616174466863936,-0.05665847599637398,0.08652566226152653,0.0006705373863034488,0.008134879509924775,0.048597161521265066,0.0560564787687473,-0.028478450687638615,-0.0512756433442571,-0.023374052180825382,0.09927809466653387,0.033807229505397295,0.2722630240156496,provided
2024,-0.012798747935080658,0.049280913193975165,0.06645192625496407,-0.018988831507015587,0.06697060335405329,0.0379126067479591,0.0015005706523977935,0.010951364284098241,0.030008597203880768,0.0033285679928948377,0.04024852953011189,-0.03443303395736529,0.26127836946069594,provided
2025,0.043854662306748865,-0.006382581280043466,-0.01938347347129385,-0.01900398084960131,0.07320200745266586,0.07305543742882321,0.023713719680585096,0.03988801870746775,0.09035798828017126,0.03208475103342826,0.017688910731843553,0.028692069018815106,0.4410509094522175,provided
2026,0.08198871504564426,0.06022337575611425,-0.07233093077738262,0.12848132730671474,0.08808980229408911,-0.03395373398879388,-0.06119286055363641,,,,,,0.18507711105147373,provided
2016,,,,,,,,0.0011974656695981079,5.826069013625812e-05,-0.017337107615069125,0.036838621770857616,0.02027168394631995,0.040822325763134826,benchmark
2017,0.017894573048837348,0.03929161719025487,0.001250066969211483,0.00992623463146658,0.014112702135886446,0.006375015463495393,0.020554209333796702,0.0029175879063068066,0.02014954034242389,0.02356398881233801,0.030566155098686654,0.012127910509658113,0.21705426602382216,benchmark
2018,0.056358982084542486,-0.0363604201437,-0.027410552043610648,0.005168348102845943,0.024308809309919965,0.005751150693374285,0.037046232301794824,0.0319198908498004,0.005945626787698055,-0.0691041797235078,0.01854919691444734,-0.08804850362468897,-0.045690157749840865,benchmark
2019,0.08006577075892984,0.0324157567065666,0.01810074449344956,0.04085203538761095,-0.06377126319087179,0.06958666229471389,0.015119618682033265,-0.016743793962956666,0.019458076183975326,0.022104794645719794,0.036198149968216686,0.02905516859717694,0.31223829697086525,benchmark
2020,-0.0004038060540950683,-0.07916578387295092,-0.1248710431332114,0.1269836370964108,0.047645483639213726,0.017734276778570868,0.05889214356956862,0.06979646077694679,-0.037443469316875144,-0.0249338007761869,0.10877694581029829,0.03704846271592821,0.18331650634741115,benchmark
2021,-0.010190364776450855,0.027805526149386584,0.045399260071365966,0.052910654239473054,0.0065659754497942036,0.02242713608205782,0.024412660648501783,0.029759864611525355,-0.04660548041327406,0.07016361622909284,-0.008034915842206614,0.04624778938474572,0.2872876948734526,benchmark
2022,-0.05274124855640383,-0.02951698147919335,0.0375903093946135,-0.08776910421290696,0.002257291700429098,-0.08246034147300951,0.09208749572556418,-0.0408020789255602,-0.09244584720417381,0.0812754508670126,0.05559159480862075,-0.057628321267792826,-0.18175374952608503,benchmark
2023,0.06288756370288562,-0.02514280859627971,0.03707786046244155,0.01597491903384407,0.004616200902126888,0.0647997917538703,0.032733186796475966,-0.016251944652742045,-0.04743440201860616,-0.021708735131234724,0.0913437860298183,0.04565539897985649,0.2617579889145609,benchmark
2024,0.015926587106046997,0.0521867603597006,0.03270189842569571,-0.04031951134517642,0.05057947229704984,0.035280219761934184,0.012109231177765745,0.023365622432159006,0.021004553657945513,-0.00892343020322095,0.059633412421432164,-0.024060167942029365,0.2488647630411529,benchmark
2025,0.02685634303853357,-0.012694838334663117,-0.055719310915217646,-0.008670167189502642,0.06284505165897136,0.051386230006752465,0.023031446515753284,0.02051948404438786,0.03562033851605517,0.023837580535737146,0.001949914509092654,0.0007975029584423865,0.17719055511914727,benchmark
2026,0.014737818820090842,-0.008642046247570145,-0.04937956664344334,0.10505268686597247,0.05262575303750272,-0.010292566443839024,-0.0068026527002683634,,,,,,0.09342964967795542,benchmark
