asset,optimized,provided
QQQ,0.3158468094564388,0.17740683154511844
SPMO,0.5069276444113276,0.07480732315369648
GDX,0.0,0.09876061081452925
GLD,0.13759748964330823,0.0
SLV,0.0,0.08846942184161379
AIA,0.0,0.1285238873022762
XLE,0.03962805648892542,0.1289917628162681
PTF,0.0,0.1204809428523378
QLD,0.0,0.18255921967416008
