date,SPY Candidate_drawdown,benchmark_drawdown
2014-07-31,0.0,0.0
2014-08-31,0.0,0.0
2014-09-30,0.0,0.0
2014-10-31,0.0,0.0
2014-11-30,0.0,0.0
2014-12-31,0.0,0.0
2015-01-31,-0.039258567237102304,0.0
2015-02-28,0.0,-0.00981643562623602
2015-03-31,-0.009955494504924944,0.0
2015-04-30,-0.029153576080877097,-0.019555930174539382
2015-05-31,0.0,0.0
2015-06-30,-0.010966440867225868,-0.02645741059763662
2015-07-31,0.0,0.0
2015-08-31,-0.05278513324554379,-0.031242553239251958
2015-09-30,-0.07469540151161558,-0.02814478910801932
2015-10-31,-0.033288460191644775,-0.01976555573818095
2015-11-30,-0.017012587959505776,-0.02759468001494525
2015-12-31,-0.011886950954964837,-0.01817465258195161
2016-01-31,-0.04171699065134227,-0.00241330558404651
2016-02-29,-0.014314759073555394,0.0
2016-03-31,-0.033051946032207846,-0.03540781116847158
2016-04-30,-0.03502753405210879,-0.03689150520736306
2016-05-31,0.0,0.0
2016-06-30,-0.027352818495966824,0.0
2016-07-31,-0.016310799246410324,0.0
2016-08-31,-0.022944177907309293,-0.011869813589394651
2016-09-30,-0.034127697310564975,-0.02216790663227186
2016-10-31,-0.012033339716368219,-0.008616636918647558
2016-11-30,0.0,-0.03357234043538937
2016-12-31,0.0,-0.0052314402551658645
2017-01-31,-0.020289588098720168,-0.007428730730838717
2017-02-28,-0.012510258285978182,-0.012007288620066947
2017-03-31,-0.02602900847806977,-0.01722265331015227
2017-04-30,-0.004984037475680658,0.0
2017-05-31,-0.0006931549035350537,0.0
2017-06-30,0.0,0.0
2017-07-31,-0.0038524283657560554,-0.0046713609176857185
2017-08-31,0.0,0.0
2017-09-30,0.0,0.0
2017-10-31,0.0,0.0
2017-11-30,-0.008686465008259536,-0.025793467772477152
2017-12-31,0.0,-0.017069736917676437
2018-01-31,0.0,0.0
2018-02-28,-0.030206506934485344,-0.03077806170089492
2018-03-31,-0.07198488411502013,-0.04501315365837055
2018-04-30,-0.0606450108760479,-0.04664075722220984
2018-05-31,-0.02836312885090242,-0.03376984925916793
2018-06-30,0.0,-0.01861118106556725
2018-07-31,0.0,-0.021255369914318645
2018-08-31,0.0,-0.016004998082923105
2018-09-30,0.0,-0.03061942569733611
2018-10-31,-0.04785518561732305,-0.05859636912070487
2018-11-30,-0.04782203637581517,-0.052854589904114846
2018-12-31,-0.1372111013225813,-0.05181763278027196
2019-01-31,-0.06886927591952874,-0.021428392235369298
2019-02-28,-0.03339814432562094,-0.004169707432831404
2019-03-31,0.0,0.0
2019-04-30,0.0,0.0
2019-05-31,-0.043553610399635234,0.0
2019-06-30,-0.00529349060706652,0.0
2019-07-31,0.0,0.0
2019-08-31,0.0,0.0
2019-09-30,0.0,-0.004398954932402277
2019-10-31,-0.007159069728322254,-0.014555944921135766
2019-11-30,0.0,-0.005303442223168808
2019-12-31,0.0,-8.417369443969314e-05
2020-01-31,0.0,0.0
2020-02-29,-0.06040172948878697,0.0
2020-03-31,-0.17409886586047807,-0.040882404325295774
2020-04-30,-0.06500855218546231,0.0
2020-05-31,-0.007788675477166773,0.0
2020-06-30,-0.022485433605937133,-0.0023589529175277457
2020-07-31,0.0,0.0
2020-08-31,0.0,0.0
2020-09-30,-0.0601224816415078,-0.03005931460923239
2020-10-31,-0.10692280029520262,-0.07221189425613206
2020-11-30,-0.03186023836048191,-0.04388844513604662
2020-12-31,-0.011660220898028317,-0.017599261025167068
2021-01-31,0.0,-0.011733289425268523
2021-02-28,0.0,-0.021617733338859635
2021-03-31,0.0,-0.023787370726376933
2021-04-30,0.0,-0.01859406822279075
