year,SPY Candidate,benchmark
2014,0.1645962311015301,0.1555514094921997
2015,0.0775215206897304,0.04806280179850808
2016,0.15175349744759736,0.08090602531132807
2017,0.07963032846827511,0.07030925568715962
2018,-0.0171163360554204,-0.02576155490053289
2019,0.36897671694010614,0.25303403375894096
2020,0.11098996706557851,0.18269211408806263
2021,0.40518671950153706,0.13439151324142462
2022,-0.11898850538436279,-0.12801367043147704
2023,0.28233159752502,0.13567922580304104
2024,0.42165319334260465,0.20847091563495534
2025,0.1511021994821946,0.23105272068266336
2026,0.08322659727233517,0.061210124873295024
