portfolio,rank,start,bottom,recovery,duration_months,decline_months,recovery_months,underwater_months,maximum_drawdown_pct,annualized_recovery_rate_pct
optimized,1,2026-06-30,2026-07-31,,3,2,,3,-11.221148940745152,
optimized,2,2020-09-30,2020-10-31,2021-05-31,9,2,7.0,9,-10.71503084711557,21.44509150197149
optimized,3,2020-02-29,2020-03-31,2020-04-30,3,2,1.0,3,-7.808898782661622,165.29677365797517
optimized,4,2022-11-30,2022-12-31,2023-03-31,5,2,3.0,5,-6.214073487548577,29.255581943701436
optimized,5,2022-04-30,2022-06-30,2022-10-31,7,3,4.0,7,-6.026658867368906,20.499708366031054
optimized,6,2018-09-30,2018-12-31,2019-02-28,6,4,2.0,6,-5.389722244356765,39.43445230278453
optimized,7,2018-02-28,2018-03-31,2018-06-30,5,2,3.0,5,-4.469683327117191,20.070171360639975
optimized,8,2019-09-30,2019-10-31,2020-01-31,5,2,3.0,5,-2.8454642680019515,12.240004883379907
optimized,9,2023-05-31,2023-05-31,2023-08-31,4,1,3.0,4,-2.8246441323954263,12.143844650517433
optimized,10,2026-03-31,2026-03-31,2026-04-30,2,1,1.0,2,-2.725483863142042,39.319224850978095
optimized,11,2022-01-31,2022-01-31,2022-03-31,3,1,2.0,3,-2.6996524560258583,17.845675707692553
optimized,12,2017-11-30,2017-11-30,2018-01-31,3,1,2.0,3,-2.381034126266335,15.556607695005908
optimized,13,2021-09-30,2021-09-30,2021-10-31,2,1,1.0,2,-1.4337150960038847,18.92121765454755
optimized,14,2025-04-30,2025-04-30,2025-06-30,3,1,2.0,3,-0.9484438453782662,5.884449344517573
optimized,15,2023-09-30,2023-09-30,2023-10-31,2,1,1.0,2,-0.8522307701927967,10.816551908061168
optimized,16,2024-08-31,2024-08-31,2024-09-30,2,1,1.0,2,-0.3900504656576431,4.801466336667515
optimized,17,2020-06-30,2020-06-30,2020-07-31,2,1,1.0,2,-0.37771442677729805,4.645843948182438
optimized,18,2025-12-31,2025-12-31,2026-01-31,2,1,1.0,2,-0.2878283623588995,3.519436998218528
