point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_AIA_pct,weight_GLD_pct,weight_XLE_pct,weight_144600_pct,weight_SCHD_pct
1,1.2381161784016772,16.90521061181629,10.552909396646895,0.466909748887468,10.047257433377117,11.571578809076119,43.52740932814771,0.0,0.0,34.38684468051159
2,1.2436536720095923,16.964446477868645,10.553552017451628,0.8589580319625473,10.508181510991887,11.248380835123687,43.60261272535092,0.0,0.0,33.78186689657095
3,1.2490384168743542,17.023682343921003,10.55547964512813,1.2510063150375794,10.96910558860672,10.925182861171264,43.67781612255414,0.0,0.0,33.176889112630306
4,1.25426861426569,17.082918209973354,10.558691575891833,1.6430545981126254,11.430029666221527,10.601984887218833,43.75301951975735,0.0,0.0,32.57191132868966
5,1.2593426371266025,17.14215407602571,10.563186638195033,2.0351028811877008,11.890953743836322,10.278786913266401,43.828222916960556,0.0,0.0,31.96693354474901
6,1.2642590325184606,17.201389942078066,10.56896319486036,2.4271511642627486,12.351877821451138,9.955588939313971,43.90342631416379,0.0,0.0,31.361955760808353
7,1.2690165235296504,17.260625808130417,10.57601914605499,2.819199447337808,12.812801899065876,9.632390965361557,43.97862971136699,0.0,0.0,30.75697797686776
8,1.2736140106428653,17.31986167418277,10.584351933092954,3.211247730412846,13.273725976680689,9.309192991409134,44.0538331085702,0.0,0.0,30.15200019292712
9,1.2780505725593405,17.37909754023513,10.593958543049586,3.603296013487899,13.734650054295486,8.98599501745671,44.12903650577341,0.0,0.0,29.547022408986486
10,1.2823254664815658,17.438333406287484,10.604835514168808,3.995344296562971,14.195574131910293,8.662797043504272,44.20423990297664,0.0,0.0,28.942044625045828
11,1.2864381278591719,17.49756927233984,10.61697894204075,4.38739257963803,14.656498209525063,8.339599069551856,44.27944330017986,0.0,0.0,28.337066841105212
12,1.2903881696057613,17.55680513839219,10.630384486524246,4.779440862713051,15.117422287139846,8.016401095599445,44.35464669738306,0.0,0.0,27.732089057164604
13,1.2941753807974625,17.61604100444455,10.645047379385964,5.171489145788168,15.578346364754648,7.693203121646985,44.42985009458628,0.0,0.0,27.12711127322392
14,1.29779972486679,17.6752768704969,10.660962432625237,5.563537428863189,16.039270442369464,7.370005147694562,44.50505349178949,0.0,0.0,26.522133489283302
15,1.301261337308121,17.73451273654926,10.678124047451366,5.955585711938291,16.50019451998426,7.046807173742112,44.58025688899271,0.0,0.0,25.91715570534262
16,1.304560522913564,17.793748602601617,10.696526223877996,6.347633995013332,16.96111859759906,6.723609199789697,44.655460286195925,0.0,0.0,25.31217792140199
17,1.3076977525603184,17.852984468653965,10.716162570897204,6.739682278088351,17.422042675213866,6.400411225837287,44.73066368339913,0.0,0.0,24.707200137461363
18,1.3106736595727084,17.912220334706323,10.737026317194374,7.131730561163405,17.882966752828626,6.077213251884866,44.80586708060235,0.0,0.0,24.10222235352076
19,1.3134890356839042,17.971456200758674,10.75911032236351,7.523778844238488,18.34389083044339,5.75401527793244,44.88107047780556,0.0,0.0,23.497244569580126
20,1.3161448266239928,18.03069206681103,10.782407088581445,7.91582712731352,18.804814908058223,5.430817303980017,44.956273875008776,0.0,0.0,22.892266785639467
21,1.3186421273623925,18.089927932863382,10.806908772698682,8.307875410388545,19.265738985673018,5.107619330027601,45.03147727221199,0.0,0.0,22.287289001698856
22,1.3209821770337307,18.14916379891574,10.832607198703833,8.699923693463628,19.726663063287805,4.784421356075162,45.106680669415205,0.0,0.0,21.682311217758205
23,1.3231663535771667,18.2083996649681,10.859493870518387,9.091971976538721,20.187587140902615,4.46122338212271,45.18188406661841,0.0,0.0,21.07733343381754
24,1.325196168119743,18.267635531020453,10.887559985078413,9.484020259613764,20.64851121851739,4.138025408170295,45.25708746382163,0.0,0.0,20.47235564987692
