year,ticker,return_pct
2017,QQQ,2.8715947972964395
2018,QQQ,2.6475930501107303
2019,QQQ,45.00188163762804
2020,QQQ,39.62364459552481
2021,QQQ,39.247020130967215
2022,QQQ,-27.823424801056984
2023,QQQ,57.92844213363999
2024,QQQ,43.44665453819465
2025,QQQ,17.62189959472269
2026,QQQ,11.548152492830766
2017,SPMO,7.922121131700455
2018,SPMO,2.4329613772524628
2019,SPMO,31.632599548680872
2020,SPMO,20.115086356737734
2021,SPMO,33.41729545792742
2022,SPMO,-3.967579206778016
2023,SPMO,19.917210928859717
2024,SPMO,66.35803157354898
2025,SPMO,23.734242670466664
2026,SPMO,17.86103586685337
2017,AIA,4.323729163032453
2018,AIA,-10.252293529259271
2019,AIA,26.209818542923124
2020,AIA,26.228312657084874
2021,AIA,-2.5920348058050546
2022,AIA,-17.357236880189898
2023,AIA,4.542882014977367
2024,AIA,37.49057847729351
2025,AIA,43.82784832807474
2026,AIA,36.61486843268471
2017,GLD,-6.7048176529364785
2018,GLD,2.769936858222133
2019,GLD,22.14055162834512
2020,GLD,17.282481416888153
2021,GLD,3.517025946051855
2022,GLD,7.056048968396045
2023,GLD,15.21537976406
2024,GLD,42.95638336817014
2025,GLD,61.48184716811122
2026,GLD,-1.3698048789798745
2017,XLE,12.155978727461637
2018,XLE,-15.401576292840502
2019,XLE,15.791186280225244
2020,XLE,-35.72021267638807
2021,XLE,64.2473013974968
2022,XLE,76.24174087325977
2023,XLE,1.8327720824436566
2024,XLE,18.25051109852749
2025,XLE,7.061275928676047
2026,XLE,35.99042532708856
2017,144600,-4.04213620774132
2018,144600,-11.182027061526655
2019,144600,13.452141419948283
2020,144600,38.63693944768176
2021,144600,-15.57017543859649
2022,144600,1.9480519480519431
2023,144600,-2.7600849256899873
2024,144600,16.441048034934468
2025,144600,136.35852240765044
2026,144600,-10.789369297897633
2017,SCHD,8.452513055996524
2018,SCHD,-2.5728186698091626
2019,SCHD,32.77028201690049
2020,SCHD,7.900406708923846
2021,SCHD,41.30499977782658
2022,SCHD,4.625913002437154
2023,SCHD,6.162990852661054
2024,SCHD,26.28030494941218
2025,SCHD,2.72085337331347
2026,SCHD,23.539076644439017
